season,week,eliminated_count,eliminated_names
1,1,0,
1,2,1,Trista Sutter
1,3,1,Evander Holyfield
1,4,1,Rachel Hunter
1,5,0,
1,6,0,
1,7,0,
1,8,0,
1,9,0,
1,10,0,
1,11,0,
2,1,1,Kenny Mayne
2,2,1,Tatum O'Neal
2,3,1,Giselle Fernandez
2,4,1,Master P
2,5,1,Tia Carrere
2,6,1,George Hamilton
2,7,1,Lisa Rinna
2,8,0,
2,9,0,
2,10,0,
2,11,0,
3,1,1,Tucker Carlson
3,2,1,Shanna Moakler
3,3,1,Harry Hamlin
3,4,1,Vivica A. Fox
3,5,1,Willa Ford
3,6,0,
3,7,1,Jerry Springer
3,8,1,Monique Coleman
3,9,0,
3,10,0,
3,11,0,
4,1,0,
4,2,1,Paulina Porizkova
4,3,1,Shandi Finnessey
4,4,1,Leeza Gibbons
4,5,1,Clyde Drexler
4,6,1,Heather Mills
4,7,1,John Ratzenberger
4,8,1,Billy Ray Cyrus
4,9,1,Ian Ziering
4,10,0,
4,11,0,
5,1,1,Josie Maran
5,2,1,Albert Reed
5,3,1,Wayne Newton
5,4,1,Floyd Mayweather Jr. 
5,5,1,Mark Cuban
5,6,1,Sabrina Bryan
5,7,1,Jane Seymour
5,8,1,Cameron Mathison
5,9,1,Jennie Garth
5,10,0,
5,11,0,
6,1,0,
6,2,2,"Monica Seles, Penn Jillette"
6,3,1,Steve Guttenberg
6,4,1,Adam Carolla
6,5,1,Priscilla Presley
6,6,1,Marlee Matlin
6,7,1,Shannon Elizabeth
6,8,1,Mario
6,9,1,Marissa Jaret Winokur
6,10,0,
6,11,0,
7,1,2,"Ted McGinley, Jeffrey Ross"
7,2,1,Kim Kardashian
7,3,0,
7,4,1,Rocco DiSpirito
7,5,1,Toni Braxton
7,6,1,Cloris Leachman
7,7,1,Susan Lucci
7,8,1,Maurice Greene
7,9,1,Cody Linley
7,10,0,
7,11,0,
8,1,1,Ty Murray
8,2,1,Belinda Carlisle
8,3,1,Denise Richards
8,4,2,"Steve Wozniak, Holly Madison"
8,5,1,David Alan Grier
8,6,1,Steve-O
8,7,1,Lawrence Taylor
8,8,1,Chuck Wicks
8,9,1,Lil' Kim
8,10,1,Ty Murray
8,11,0,
9,1,2,"Ashley Hamiliton, Macy Gray"
9,2,1,Kathy Ireland
9,3,1,Debi Mazar
9,4,1,Chuck Liddell
9,5,1,Natalie Coughlin
9,6,2,"Melissa Joan Hart, Louie Vito"
9,7,2,"Mark Dacascos, Michael Irvin"
9,8,1,Aaron Carter
9,9,1,Joanna Krupa
9,10,0,
9,11,0,
10,1,0,
