season,contestants,weeks,judges,voting_method,is_allstar,has_judge_tiebreaker
1,6,6,3,rank,False,False
2,10,8,3,rank,False,False
3,11,10,3,percentage,False,False
4,11,10,3,percentage,False,False
5,12,10,3,percentage,False,False
6,12,10,3,percentage,False,False
7,13,10,3,percentage,False,False
8,13,11,3,percentage,False,False
9,16,10,3,percentage,False,False
10,11,10,3,percentage,False,False
11,12,10,4,percentage,False,False
12,11,10,4,percentage,False,False
13,12,10,3,percentage,False,False
14,12,10,3,percentage,False,False
15,13,10,4,percentage,True,False
16,12,10,3,percentage,False,False
17,12,11,4,percentage,False,False
18,12,10,4,percentage,False,False
19,13,11,4,percentage,False,False
20,12,10,4,percentage,False,False
21,13,11,4,percentage,False,False
22,12,10,4,percentage,False,False
23,13,11,4,percentage,False,False
24,12,10,4,percentage,False,False
25,13,10,4,percentage,False,False
26,10,4,4,percentage,False,False
27,13,9,3,percentage,False,False
28,12,11,4,rank,False,True
29,15,11,3,rank,False,True
30,15,10,4,rank,False,True
31,16,10,4,rank,False,True
32,14,11,4,rank,False,True
33,13,9,4,rank,False,True
34,14,11,4,rank,False,True
