season,week,is_correct,predicted,actual,voting_method,n_contestants
1,2,False,John O'Hurley,['Trista Sutter'],rank,6
1,3,True,Evander Holyfield,['Evander Holyfield'],rank,5
1,4,False,John O'Hurley,['Rachel Hunter'],rank,4
2,1,True,Kenny Mayne,['Kenny Mayne'],rank,10
2,2,True,Tatum O'Neal,"[""Tatum O'Neal""]",rank,9
2,3,False,Tia Carrere,['Giselle Fernandez'],rank,8
2,4,True,Master P,['Master P'],rank,7
2,5,True,Tia Carrere,['Tia Carrere'],rank,6
2,6,True,George Hamilton,['George Hamilton'],rank,5
2,7,True,Lisa Rinna,['Lisa Rinna'],rank,4
3,1,True,Tucker Carlson,['Tucker Carlson'],percentage,11
3,2,True,Shanna Moakler,['Shanna Moakler'],percentage,10
3,3,True,Harry Hamlin,['Harry Hamlin'],percentage,9
3,4,True,Vivica A. Fox,['Vivica A. Fox'],percentage,8
3,5,True,Willa Ford,['Willa Ford'],percentage,7
3,7,True,Jerry Springer,['Jerry Springer'],percentage,5
3,8,True,Monique Coleman,['Monique Coleman'],percentage,4
4,2,True,Paulina Porizkova,['Paulina Porizkova'],percentage,11
4,3,True,Shandi Finnessey,['Shandi Finnessey'],percentage,10
4,4,True,Leeza Gibbons,['Leeza Gibbons'],percentage,9
4,5,True,Clyde Drexler,['Clyde Drexler'],percentage,8
4,6,True,Heather Mills,['Heather Mills'],percentage,7
4,7,True,John Ratzenberger,['John Ratzenberger'],percentage,6
4,8,True,Billy Ray Cyrus,['Billy Ray Cyrus'],percentage,5
4,9,True,Ian Ziering,['Ian Ziering'],percentage,4
5,1,True,Josie Maran,['Josie Maran'],percentage,12
5,2,True,Albert Reed,['Albert Reed'],percentage,11
5,3,True,Wayne Newton,['Wayne Newton'],percentage,10
5,4,True,Floyd Mayweather Jr. ,['Floyd Mayweather Jr. '],percentage,9
5,5,True,Mark Cuban,['Mark Cuban'],percentage,8
5,6,True,Sabrina Bryan,['Sabrina Bryan'],percentage,7
5,7,True,Jane Seymour,['Jane Seymour'],percentage,6
5,8,True,Cameron Mathison,['Cameron Mathison'],percentage,5
5,9,True,Jennie Garth,['Jennie Garth'],percentage,4
6,2,True,Monica Seles,"['Monica Seles', 'Penn Jillette']",percentage,12
6,3,True,Steve Guttenberg,['Steve Guttenberg'],percentage,10
6,4,True,Adam Carolla,['Adam Carolla'],percentage,9
6,5,True,Priscilla Presley,['Priscilla Presley'],percentage,8
6,6,True,Marlee Matlin,['Marlee Matlin'],percentage,7
6,7,True,Shannon Elizabeth,['Shannon Elizabeth'],percentage,6
6,8,True,Mario,['Mario'],percentage,5
6,9,True,Marissa Jaret Winokur,['Marissa Jaret Winokur'],percentage,4
7,1,True,Jeffrey Ross,"['Ted McGinley', 'Jeffrey Ross']",percentage,13
7,2,True,Kim Kardashian,['Kim Kardashian'],percentage,11
7,4,True,Rocco DiSpirito,['Rocco DiSpirito'],percentage,9
7,5,True,Toni Braxton,['Toni Braxton'],percentage,8
7,6,True,Cloris Leachman,['Cloris Leachman'],percentage,7
7,7,True,Susan Lucci,['Susan Lucci'],percentage,6
