celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,is_withdrew,is_controversial,contestants,weeks,judges,voting_method,is_allstar,active_weeks,week1_total,week1_avg,week2_total,week2_avg,week3_total,week3_avg,week4_total,week4_avg,week5_total,week5_avg,week6_total,week6_avg,week7_total,week7_avg,week8_total,week8_avg,week9_total,week9_avg,week10_total,week10_avg,week11_total,week11_avg,overall_avg_score,elimination_week,is_finalist,final_rank,total_pageviews,avg_daily_pageviews,ind_Actor/Actress,ind_Athlete,ind_Comedian,ind_Con artist,ind_Conservationist,ind_Entrepreneur,ind_Fitness Instructor,ind_Journalist,ind_Military,ind_Model,ind_Musician,ind_News Anchor,ind_Politician,ind_Producer,ind_Racing Driver,ind_Radio Personality,ind_Singer/Rapper,ind_Social Media Personality,ind_Social media personality,ind_TV Personality,log_pageviews
Gary Busey,Anna Trebunskaya,Actor/Actress,Texas,United States,71,21,Eliminated Week 4,10,5.0,5.0,5.0,,5.5,5.5,5.5,,6.0,7.0,6.0,6.0,5.0,6.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,False,False,13,11,4,percentage,False,4,15.0,5.0,16.5,5.5,25.0,6.25,16.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.576923076923077,4.0,False,,949875.0,13378.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.764086728741633
Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,21,Eliminated Week 9,6,7.0,7.0,8.0,,7.5,7.5,8.0,,9.0,9.0,9.0,9.0,7.0,7.0,7.0,,10.0,10.0,10.0,10.0,8.0,7.0,7.0,8.0,9.0,9.5,9.0,,9.6666,8.6666,8.6666,,10.0,10.0,10.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,False,False,13,11,4,percentage,False,9,22.0,7.333333333333333,23.0,7.666666666666667,36.0,9.0,21.0,7.0,40.0,10.0,30.0,7.5,27.5,9.166666666666666,26.9998,8.999933333333333,30.0,10.0,0.0,0.0,0.0,0.0,8.549993333333331,9.0,False,,156918.0,2210.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.96348502762921
Carlos PenaVega,Witney Carson,Actor/Actress,Missouri,United States,26,21,Eliminated Week 11,4,8.0,8.0,7.0,,7.5,7.5,7.5,,7.0,8.0,8.0,8.0,9.0,8.0,8.0,,10.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,,9.6666,9.6666,9.6666,,9.0,9.0,9.0,,10.0,10.5,11.0,,10.0,10.0,10.0,,False,False,13,11,4,percentage,False,11,23.0,7.666666666666667,22.5,7.5,31.0,7.75,25.0,8.333333333333334,39.0,9.75,38.0,9.5,28.0,9.333333333333334,28.9998,9.6666,27.0,9.0,31.5,10.5,30.0,10.0,8.999994444444445,11.0,False,,66029.0,930.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.097864463188618
Victor Espinoza,Karina Smirnoff,Athlete,Non-US,Mexico,43,21,Eliminated Week 2,12,5.0,5.0,5.0,,6.5,5.5,6.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,False,False,13,11,4,percentage,False,2,15.0,5.0,18.5,6.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.583333333333333,2.0,False,,116307.0,1638.1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.663997123759225
Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,21,3rd Place,3,8.0,7.0,7.0,,7.5,7.0,8.0,,8.0,8.0,9.0,8.0,8.0,8.0,8.0,,8.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,9.0,9.0,8.5,,9.0,8.0,8.0,,8.5,8.5,8.5,,9.5,9.5,9.5,,9.3333,9.3333,9.3333,,False,False,13,11,4,percentage,False,11,22.0,7.333333333333333,22.5,7.5,33.0,8.25,24.0,8.0,29.0,7.25,30.0,7.5,26.5,8.833333333333334,25.0,8.333333333333334,25.5,8.5,28.5,9.5,27.9999,9.3333,8.16666388888889,,True,3.0,376967.0,5309.4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12.839915582190978
Chaka Khan,Keo Motsepe,Singer/Rapper,Illinois,United States,62,21,Eliminated Week 2,13,5.0,4.0,4.0,,5.0,5.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,False,False,13,11,4,percentage,False,2,13.0,4.333333333333333,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,2.0,False,,275603.0,3881.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,12.526720331804416
Andy Grammer,Allison Holker,Singer/Rapper,California,United States,31,21,Eliminated Week 8,7,7.0,7.0,7.0,,7.5,7.5,7.0,,7.0,7.0,8.0,7.0,7.0,8.0,8.0,,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.5,9.5,9.0,,8.6666,7.6666,7.6666,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,False,False,13,11,4,percentage,False,8,21.0,7.0,22.0,7.333333333333333,29.0,7.25,23.0,7.666666666666667,36.0,9.0,40.0,10.0,28.0,9.333333333333334,23.9998,7.999933333333334,0.0,0.0,0.0,0.0,0.0,0.0,8.25925185185185,8.0,False,,390270.0,5496.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,12.874596648589076
Tamar Braxton,Valentin Chmerkovskiy,Singer/Rapper,Maryland,United States,38,21,Withdrew,5,8.0,7.0,8.0,,8.0,8.0,8.5,,8.0,9.0,8.0,8.0,9.0,9.0,9.0,,7.0,7.0,8.0,7.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,,9.0,9.0,10.0,,8.5,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,True,False,13,11,4,percentage,False,9,23.0,7.666666666666667,24.5,8.166666666666666,33.0,8.25,27.0,9.0,29.0,7.25,40.0,10.0,27.0,9.0,28.0,9.333333333333334,24.5,8.166666666666666,0.0,0.0,0.0,0.0,8.533333333333333,-1.0,False,,487619.0,6867.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,13.097291692975306
Nick Carter,Sharna Burgess,Singer/Rapper,New York,United States,35,21,2nd Place,2,8.0,8.0,8.0,,7.5,7.5,7.5,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,,11.0,11.0,11.0,,9.0,9.0,9.5,,9.0,9.0,9.0,,10.0,10.0,10.0,,False,False,13,11,4,percentage,False,11,24.0,8.0,22.5,7.5,36.0,9.0,27.0,9.0,35.0,8.75,39.0,9.75,27.0,9.0,33.0,11.0,27.5,9.166666666666666,27.0,9.0,30.0,10.0,9.11111111111111,,True,2.0,14440.0,203.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,9.577826662126565
Hayes Grier,Emma Slater,Social Media Personality,North Carolina,United States,15,21,Eliminated Week 7,8,7.0,7.0,7.0,,8.0,7.0,7.5,,7.0,8.0,7.0,8.0,9.0,9.0,9.0,,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.5,9.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,False,False,13,11,4,percentage,False,7,21.0,7.0,22.5,7.5,30.0,7.5,27.0,9.0,30.0,7.5,32.0,8.0,28.0,9.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9375,7.0,False,,342133.0,4818.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,12.742957752171623
Bindi Irwin,Derek Hough,TV Personality,Non-US,Australia,17,21,1st Place,1,8.0,8.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,8.0,9.0,9.0,10.0,,9.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,9.5,10.0,9.5,,10.0,9.0,9.0,,10.0,10.0,10.0,,10.5,10.5,10.5,,10.0,10.0,10.0,,False,False,13,11,4,percentage,False,11,24.0,8.0,24.0,8.0,32.0,8.0,28.0,9.333333333333334,37.0,9.25,40.0,10.0,29.0,9.666666666666666,28.0,9.333333333333334,30.0,10.0,31.5,10.5,30.0,10.0,9.26388888888889,,True,1.0,872649.0,12290.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,13.679289838052982
Kim Zolciak-Biermann,Tony Dovolani,TV Personality,Florida,United States,37,21,Withdrew,11,4.0,4.0,4.0,,6.5,6.0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,True,False,13,11,4,percentage,False,2,12.0,4.0,18.5,6.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.083333333333333,-1.0,False,,651160.0,9171.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,13.386512202442134
Paula Deen,Louis van Amstel,TV Personality,Georgia,United States,68,21,Eliminated Week 6,9,5.0,5.0,5.0,,6.5,6.0,6.0,,5.0,5.0,5.0,5.0,6.0,6.0,6.0,,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,False,False,13,11,4,percentage,False,6,15.0,5.0,18.5,6.166666666666667,20.0,5.0,18.0,6.0,26.0,6.5,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.785714285714286,6.0,False,,240851.0,3392.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,12.391937915947492
Mischa Barton,Artem Chigvintsev,Actor/Actress,Non-US,England,30,22,Eliminated Week 3,11,5.0,5.0,6.0,,5.0,5.0,5.0,,6.0,6.0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,False,12,10,4,percentage,False,3,16.0,5.333333333333333,15.0,5.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.444444444444445,3.0,False,,547464.0,8422.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.21305381168874
