pro_dancer,avg_score_mean,avg_score_std,count,avg_vote_mean,avg_vote_std,avg_rank,finalist_rate
Cheryl Burke,24.297,4.054,25,0.119,0.042,2.25,0.32
Tony Dovolani,22.453,4.579,21,0.11,0.04,2.333,0.143
Mark Ballas,27.112,5.031,21,0.125,0.031,2.0,0.476
Valentin Chmerkovskiy,28.684,5.721,19,0.12,0.028,2.111,0.474
Karina Smirnoff,22.565,4.644,18,0.114,0.035,2.0,0.222
Derek Hough,28.705,3.572,17,0.139,0.017,1.444,0.529
Maksim Chmerkoskiy,25.108,4.09,17,0.121,0.033,2.2,0.294
Emma Slater,23.755,6.032,16,0.098,0.034,1.0,0.062
Peta Murgatroyd,24.071,5.738,15,0.105,0.025,1.0,0.133
Witney Carson,28.086,4.409,14,0.115,0.025,2.2,0.357
Kym Johnson,22.799,4.153,14,0.118,0.032,1.5,0.286
Sharna Burgess,25.95,5.649,14,0.11,0.036,2.0,0.357
Gleb Savchenko,24.701,5.204,13,0.09,0.021,,0.0
Sasha Farber,27.996,3.679,12,0.112,0.033,3.0,0.167
Artem Chigvintsev,26.806,6.216,12,0.105,0.022,1.0,0.083
Edyta Sliwinska,19.397,4.847,11,0.115,0.041,2.5,0.182
Louis van Amstel,22.306,3.123,11,0.114,0.03,3.0,0.091
Anna Trebunskaya,21.057,2.615,11,0.099,0.026,2.0,0.182
Lindsay Arnold,25.609,4.363,10,0.111,0.032,2.25,0.4
Jenna Johnson,23.955,7.731,9,0.117,0.045,1.5,0.444
Alan Bersten,25.756,5.988,9,0.1,0.031,1.5,0.222
Keo Motsepe,21.689,4.778,9,0.09,0.026,3.0,0.111
Brandon Armstrong,24.488,5.578,8,0.094,0.039,3.0,0.125
Jonathan Roberts,20.667,3.535,7,0.113,0.05,3.0,0.143
Chelsie Hightower,21.739,3.827,7,0.105,0.02,,0.0
Pasha Pashkov,22.332,5.727,7,0.085,0.035,3.0,0.143
Lacey Schwimmer,20.636,4.672,6,0.116,0.036,2.5,0.333
Britt Stewart,20.388,7.24,6,0.074,0.027,,0.0
Alec Mazo,20.727,3.018,5,0.121,0.073,1.0,0.2
Daniella Karagach,27.629,3.508,5,0.094,0.041,2.0,0.6
Julianne Hough,23.561,3.432,5,0.133,0.033,1.0,0.4
Tristan MacManus,19.325,2.135,5,0.094,0.021,,0.0
Ashly DelGrosso,16.65,4.53,4,0.118,0.057,3.0,0.25
Allison Holker,29.398,4.902,4,0.108,0.03,2.0,0.25
Rylee Arnold,23.87,2.752,3,0.085,0.037,,0.0
Dmitry Chaplin,22.294,5.671,3,0.109,0.033,2.0,0.333
Corky Ballas,18.3,1.131,2,0.103,0.004,,0.0
Koko Iwasaki,19.469,10.562,2,0.079,0.064,,0.0
Nick Kosovich,22.125,3.005,2,0.132,0.039,,0.0
Elena Grinenko,13.8,2.546,2,0.098,0.01,,0.0
Alan Bersten (Rashad Jennings week 9),27.909,,1,0.098,,,0.0
Anna Demidova,19.357,,1,0.095,,,0.0
Andrea Hale,13.0,,1,0.145,,,0.0
Brian Fortuna,20.0,,1,0.09,,,0.0
Fabian Sanchez,22.333,,1,0.109,,,0.0
Ezra Sosa (Apolo Anton Ohno week 9),29.561,,1,0.135,,3.0,1.0
Ezra Sosa,17.5,,1,0.075,,,0.0
Emma Slater/Kaitlyn Bristowe (week 9),22.667,,1,0.055,,,0.0
Damian Whitewood,23.429,,1,0.119,,,0.0
Charlotte Jorgensen,24.167,,1,0.306,,2.0,1.0
Daniella Karagach (Rumer Willis week 9),28.985,,1,0.097,,,0.0
Jan Ravnik,24.429,,1,0.085,,,0.0
Kym Herjavec,23.5,,1,0.085,,,0.0
Inna Brayer,18.5,,1,0.07,,,0.0
Henry Byalikov,18.0,,1,0.069,,,0.0
Jesse DeSoto,20.0,,1,0.092,,,0.0
Val Chmerkovskiy,24.8,,1,0.094,,,0.0
Tyne Stecklein,15.667,,1,0.077,,,0.0
Val Chmerkovskiy (Joey Graziadei week 9),30.136,,1,0.131,,2.0,1.0
Witney Carson (Xoshitl Gomez week 9),30.197,,1,0.141,,1.0,1.0
