season,week,n_contestants,actual_method,actual_eliminated,rank_eliminated,pct_eliminated,methods_agree,rank_bottom_two,pct_bottom_two,rank_elim_judge_rank,rank_elim_vote_rank,pct_elim_judge_rank,pct_elim_vote_rank
1,2,6,rank,Trista Sutter,Evander Holyfield,Evander Holyfield,True,"['Evander Holyfield', 'Kelly Monaco']","['Evander Holyfield', 'Kelly Monaco']",6,6,6,6
1,3,5,rank,Evander Holyfield,Kelly Monaco,Kelly Monaco,True,"['Kelly Monaco', 'Joey McIntyre']","['Kelly Monaco', 'Joey McIntyre']",4,5,4,5
1,4,4,rank,Rachel Hunter,Joey McIntyre,Rachel Hunter,False,"['Joey McIntyre', 'Rachel Hunter']","['Rachel Hunter', 'Joey McIntyre']",4,3,2,4
2,1,10,rank,Kenny Mayne,Master P,Master P,True,"['Master P', 'George Hamilton']","['Master P', 'George Hamilton']",10,10,10,10
2,2,9,rank,Tatum O'Neal,Master P,Master P,True,"['Master P', 'Lisa Rinna']","['Master P', 'Lisa Rinna']",9,9,9,9
2,3,8,rank,Giselle Fernandez,Master P,Master P,True,"['Master P', 'Jerry Rice']","['Master P', 'Jerry Rice']",8,8,8,8
2,4,7,rank,Master P,George Hamilton,George Hamilton,True,"['George Hamilton', 'Jerry Rice']","['George Hamilton', 'Jerry Rice']",6,7,6,7
2,5,6,rank,Tia Carrere,Jerry Rice,Jerry Rice,True,"['Jerry Rice', 'George Hamilton']","['Jerry Rice', 'George Hamilton']",5,6,5,6
2,6,5,rank,George Hamilton,Jerry Rice,Jerry Rice,True,"['Jerry Rice', 'Lisa Rinna']","['Jerry Rice', 'Lisa Rinna']",4,5,4,5
2,7,4,rank,Lisa Rinna,Jerry Rice,Jerry Rice,True,"['Jerry Rice', 'Lisa Rinna']","['Jerry Rice', 'Lisa Rinna']",4,4,4,4
3,1,11,percentage,Tucker Carlson,Tucker Carlson,Tucker Carlson,True,"['Tucker Carlson', 'Sara Evans']","['Tucker Carlson', 'Sara Evans']",11,1,11,1
3,2,10,percentage,Shanna Moakler,Shanna Moakler,Shanna Moakler,True,"['Shanna Moakler', 'Jerry Springer']","['Shanna Moakler', 'Jerry Springer']",6,10,6,10
3,3,9,percentage,Harry Hamlin,Harry Hamlin,Harry Hamlin,True,"['Harry Hamlin', 'Jerry Springer']","['Harry Hamlin', 'Emmitt Smith']",4,9,4,9
3,4,8,percentage,Vivica A. Fox,Vivica A. Fox,Vivica A. Fox,True,"['Vivica A. Fox', 'Jerry Springer']","['Vivica A. Fox', 'Jerry Springer']",4,8,4,8
3,5,7,percentage,Willa Ford,Joey Lawrence,Willa Ford,False,"['Willa Ford', 'Joey Lawrence']","['Willa Ford', 'Joey Lawrence']",5,3,1,7
3,7,5,percentage,Jerry Springer,Jerry Springer,Jerry Springer,True,"['Jerry Springer', 'Monique Coleman']","['Jerry Springer', 'Monique Coleman']",5,1,5,1
3,8,4,percentage,Monique Coleman,Monique Coleman,Monique Coleman,True,"['Monique Coleman', 'Emmitt Smith']","['Monique Coleman', 'Joey Lawrence']",4,1,4,1
4,2,11,percentage,Paulina Porizkova,Paulina Porizkova,Paulina Porizkova,True,"['Paulina Porizkova', 'Shandi Finnessey']","['Paulina Porizkova', 'Clyde Drexler']",6,11,6,11
4,3,10,percentage,Shandi Finnessey,Shandi Finnessey,Shandi Finnessey,True,"['Shandi Finnessey', 'Clyde Drexler']","['Shandi Finnessey', 'Clyde Drexler']",6,10,6,10
4,4,9,percentage,Leeza Gibbons,Leeza Gibbons,Leeza Gibbons,True,"['Leeza Gibbons', 'Clyde Drexler']","['Leeza Gibbons', 'Clyde Drexler']",7,9,7,9
4,5,8,percentage,Clyde Drexler,Clyde Drexler,Clyde Drexler,True,"['Clyde Drexler', 'Billy Ray Cyrus']","['Clyde Drexler', 'Billy Ray Cyrus']",8,1,8,1
4,6,7,percentage,Heather Mills,Heather Mills,Heather Mills,True,"['Heather Mills', 'Billy Ray Cyrus']","['Heather Mills', 'Billy Ray Cyrus']",5,7,5,7
4,7,6,percentage,John Ratzenberger,John Ratzenberger,John Ratzenberger,True,"['John Ratzenberger', 'Billy Ray Cyrus']","['John Ratzenberger', 'Billy Ray Cyrus']",5,6,5,6
4,8,5,percentage,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,True,"['Billy Ray Cyrus', 'Ian Ziering']","['Billy Ray Cyrus', 'Ian Ziering']",5,1,5,1
4,9,4,percentage,Ian Ziering,Ian Ziering,Ian Ziering,True,"['Ian Ziering', 'Apolo Anton Ohno']","['Ian Ziering', 'Apolo Anton Ohno']",4,1,4,1
5,1,12,percentage,Josie Maran,Josie Maran,Josie Maran,True,"['Josie Maran', 'Floyd Mayweather Jr. ']","['Josie Maran', 'Floyd Mayweather Jr. ']",12,1,12,1
5,2,11,percentage,Albert Reed,Albert Reed,Albert Reed,True,"['Albert Reed', 'Wayne Newton']","['Albert Reed', 'Wayne Newton']",5,11,5,11
5,3,10,percentage,Wayne Newton,Wayne Newton,Wayne Newton,True,"['Wayne Newton', 'Mark Cuban']","['Wayne Newton', 'Mark Cuban']",10,1,10,1
5,4,9,percentage,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,True,"['Floyd Mayweather Jr. ', 'Mark Cuban']","['Floyd Mayweather Jr. ', 'Mark Cuban']",8,9,8,9
5,5,8,percentage,Mark Cuban,Mark Cuban,Mark Cuban,True,"['Mark Cuban', 'Marie Osmond']","['Mark Cuban', 'Marie Osmond']",7,8,7,8
5,6,7,percentage,Sabrina Bryan,Sabrina Bryan,Sabrina Bryan,True,"['Sabrina Bryan', 'Jane Seymour']","['Sabrina Bryan', 'Jane Seymour']",4,7,4,7
5,7,6,percentage,Jane Seymour,Jane Seymour,Jane Seymour,True,"['Jane Seymour', 'Cameron Mathison']","['Jane Seymour', 'Cameron Mathison']",6,1,6,1
