season,week,actual_eliminated,rank_original,rank_with_tiebreaker,rank_changed,pct_original,pct_with_tiebreaker,pct_changed
1,2,Trista Sutter,Evander Holyfield,Evander Holyfield,False,Evander Holyfield,Evander Holyfield,False
1,3,Evander Holyfield,Kelly Monaco,Kelly Monaco,False,Kelly Monaco,Kelly Monaco,False
1,4,Rachel Hunter,Joey McIntyre,Joey McIntyre,False,Rachel Hunter,Joey McIntyre,True
2,1,Kenny Mayne,Master P,Master P,False,Master P,Master P,False
2,2,Tatum O'Neal,Master P,Master P,False,Master P,Master P,False
2,3,Giselle Fernandez,Master P,Master P,False,Master P,Master P,False
2,4,Master P,George Hamilton,George Hamilton,False,George Hamilton,George Hamilton,False
2,5,Tia Carrere,Jerry Rice,Jerry Rice,False,Jerry Rice,Jerry Rice,False
2,6,George Hamilton,Jerry Rice,Jerry Rice,False,Jerry Rice,Jerry Rice,False
2,7,Lisa Rinna,Jerry Rice,Jerry Rice,False,Jerry Rice,Jerry Rice,False
3,1,Tucker Carlson,Tucker Carlson,Tucker Carlson,False,Tucker Carlson,Tucker Carlson,False
3,2,Shanna Moakler,Shanna Moakler,Jerry Springer,True,Shanna Moakler,Jerry Springer,True
3,3,Harry Hamlin,Harry Hamlin,Jerry Springer,True,Harry Hamlin,Emmitt Smith,True
3,4,Vivica A. Fox,Vivica A. Fox,Jerry Springer,True,Vivica A. Fox,Jerry Springer,True
3,5,Willa Ford,Joey Lawrence,Joey Lawrence,False,Willa Ford,Joey Lawrence,True
3,7,Jerry Springer,Jerry Springer,Jerry Springer,False,Jerry Springer,Jerry Springer,False
3,8,Monique Coleman,Monique Coleman,Monique Coleman,False,Monique Coleman,Monique Coleman,False
4,2,Paulina Porizkova,Paulina Porizkova,Shandi Finnessey,True,Paulina Porizkova,Clyde Drexler,True
4,3,Shandi Finnessey,Shandi Finnessey,Clyde Drexler,True,Shandi Finnessey,Clyde Drexler,True
4,4,Leeza Gibbons,Leeza Gibbons,Clyde Drexler,True,Leeza Gibbons,Clyde Drexler,True
4,5,Clyde Drexler,Clyde Drexler,Clyde Drexler,False,Clyde Drexler,Clyde Drexler,False
4,6,Heather Mills,Heather Mills,Billy Ray Cyrus,True,Heather Mills,Billy Ray Cyrus,True
4,7,John Ratzenberger,John Ratzenberger,Billy Ray Cyrus,True,John Ratzenberger,Billy Ray Cyrus,True
4,8,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,False,Billy Ray Cyrus,Billy Ray Cyrus,False
4,9,Ian Ziering,Ian Ziering,Ian Ziering,False,Ian Ziering,Ian Ziering,False
5,1,Josie Maran,Josie Maran,Josie Maran,False,Josie Maran,Josie Maran,False
5,2,Albert Reed,Albert Reed,Wayne Newton,True,Albert Reed,Wayne Newton,True
5,3,Wayne Newton,Wayne Newton,Wayne Newton,False,Wayne Newton,Wayne Newton,False
5,4,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,Mark Cuban,True,Floyd Mayweather Jr. ,Mark Cuban,True
5,5,Mark Cuban,Mark Cuban,Mark Cuban,False,Mark Cuban,Mark Cuban,False
5,6,Sabrina Bryan,Sabrina Bryan,Jane Seymour,True,Sabrina Bryan,Jane Seymour,True
5,7,Jane Seymour,Jane Seymour,Jane Seymour,False,Jane Seymour,Jane Seymour,False
5,8,Cameron Mathison,Cameron Mathison,Marie Osmond,True,Cameron Mathison,Jennie Garth,True
5,9,Jennie Garth,Jennie Garth,Marie Osmond,True,Jennie Garth,Marie Osmond,True
