alpha,beta,match_rate
0.3,0.0,0.7613636363636364
0.3,0.05,0.6287878787878788
0.3,0.1,0.5113636363636364
0.3,0.15,0.44696969696969696
0.3,0.2,0.4318181818181818
0.4,0.0,0.7613636363636364
0.4,0.05,0.5946969696969697
0.4,0.1,0.4772727272727273
0.4,0.15,0.4166666666666667
0.4,0.2,0.4015151515151515
0.5,0.0,0.7462121212121212
0.5,0.05,0.45454545454545453
0.5,0.1,0.42424242424242425
0.5,0.15,0.4015151515151515
0.5,0.2,0.38257575757575757
0.6,0.0,0.375
0.6,0.05,0.3560606060606061
0.6,0.1,0.3371212121212121
0.6,0.15,0.3333333333333333
0.6,0.2,0.3143939393939394
0.7,0.0,0.3712121212121212
0.7,0.05,0.3409090909090909
0.7,0.1,0.3371212121212121
0.7,0.15,0.32196969696969696
0.7,0.2,0.32575757575757575
