season,week,air_date,air_date_source
14,1,2012-04-23,wikipedia_week_date_table
14,2,2012-03-19,wikipedia_week_date_table
14,3,2012-04-02,wikipedia_week_date_table
14,4,2012-04-03,wikipedia_week_date_table
14,5,2012-04-10,wikipedia_week_date_table
14,6,2012-03-27,wikipedia_week_date_table
14,7,2012-05-08,wikipedia_week_date_table
14,8,2012-05-15,wikipedia_week_date_table
20,5,2015-04-13,wikipedia_week_date_table
20,6,2015-05-11,wikipedia_week_date_table
20,7,2015-03-16,wikipedia_week_date_table
20,8,2015-03-30,wikipedia_week_date_table
20,10,2015-04-20,wikipedia_week_date_table
20,11,2015-05-04,wikipedia_week_date_table
20,12,2015-04-06,wikipedia_week_date_table
20,13,2015-04-27,wikipedia_week_date_table
20,15,2015-03-23,wikipedia_week_date_table
20,20,2015-04-28,wikipedia_week_date_table
20,24,2015-05-12,wikipedia_week_date_table
22,4,2016-05-23,wikipedia_week_date_table
22,5,2016-05-24,wikipedia_week_date_table
22,6,2016-04-11,wikipedia_week_date_table
22,7,2016-04-25,wikipedia_week_date_table
22,10,2016-05-02,wikipedia_week_date_table
22,11,2016-05-16,wikipedia_week_date_table
22,12,2016-03-28,wikipedia_week_date_table
22,13,2016-04-18,wikipedia_week_date_table
22,16,2016-03-21,wikipedia_week_date_table
