season,celebrity_name,keyword,error
14,Donald Driver,DWTS Donald Driver,"Trends failed: keyword=DWTS Donald Driver, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
14,Gavin DeGraw,DWTS Gavin DeGraw,"Trends failed: keyword=DWTS Gavin DeGraw, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
14,Gladys Knight,DWTS Gladys Knight,"Trends failed: keyword=DWTS Gladys Knight, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
14,Jack Wagner,DWTS Jack Wagner,"Trends failed: keyword=DWTS Jack Wagner, err=HTTPSConnectionPool(host='trends.google.com', port=443): Read timed out. (read timeout=2)"
14,Jaleel White,DWTS Jaleel White,"Trends failed: keyword=DWTS Jaleel White, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
14,Katherine Jenkins,DWTS Katherine Jenkins,"Trends failed: keyword=DWTS Katherine Jenkins, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
14,Maria Menounos,DWTS Maria Menounos,"Trends failed: keyword=DWTS Maria Menounos, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
14,Martina Navratilova,DWTS Martina Navratilova,"Trends failed: keyword=DWTS Martina Navratilova, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
14,Melissa Gilbert,DWTS Melissa Gilbert,"Trends failed: keyword=DWTS Melissa Gilbert, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
14,Roshon Fegan,DWTS Roshon Fegan,"Trends failed: keyword=DWTS Roshon Fegan, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
14,Sherri Sheperd,DWTS Sherri Sheperd,"Trends failed: keyword=DWTS Sherri Sheperd, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
14,William Levy,DWTS William Levy,"Trends failed: keyword=DWTS William Levy, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
20,Charlotte McKinney,DWTS Charlotte McKinney,"Trends failed: keyword=DWTS Charlotte McKinney, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
20,Chris Soules,DWTS Chris Soules,"Trends failed: keyword=DWTS Chris Soules, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
20,Michael Sam,DWTS Michael Sam,"Trends failed: keyword=DWTS Michael Sam, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
20,Nastia Liukin,DWTS Nastia Liukin,"Trends failed: keyword=DWTS Nastia Liukin, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
20,Noah Galloway,DWTS Noah Galloway,"Trends failed: keyword=DWTS Noah Galloway, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
20,Patti LaBelle,DWTS Patti LaBelle,"Trends failed: keyword=DWTS Patti LaBelle, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
20,Redfoo,DWTS Redfoo,"Trends failed: keyword=DWTS Redfoo, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
20,Riker Lynch,DWTS Riker Lynch,"Trends failed: keyword=DWTS Riker Lynch, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
20,Robert Herjavec,DWTS Robert Herjavec,"Trends failed: keyword=DWTS Robert Herjavec, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
20,Rumer Willis,DWTS Rumer Willis,"Trends failed: keyword=DWTS Rumer Willis, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
20,Suzanne Somers,DWTS Suzanne Somers,"Trends failed: keyword=DWTS Suzanne Somers, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
20,Willow Shields,DWTS Willow Shields,"Trends failed: keyword=DWTS Willow Shields, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
22,Antonio Brown,DWTS Antonio Brown,"Trends failed: keyword=DWTS Antonio Brown, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
22,Doug Flutie,DWTS Doug Flutie,"Trends failed: keyword=DWTS Doug Flutie, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
22,Geraldo Rivera,DWTS Geraldo Rivera,"Trends failed: keyword=DWTS Geraldo Rivera, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
22,Ginger Zee,DWTS Ginger Zee,"Trends failed: keyword=DWTS Ginger Zee, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
22,Jodie Sweetin,DWTS Jodie Sweetin,"Trends failed: keyword=DWTS Jodie Sweetin, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
22,Kim Fields,DWTS Kim Fields,"Trends failed: keyword=DWTS Kim Fields, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
22,Marla Maples,DWTS Marla Maples,"Trends failed: keyword=DWTS Marla Maples, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
22,Mischa Barton,DWTS Mischa Barton,"Trends failed: keyword=DWTS Mischa Barton, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
22,Nyle DiMarco,DWTS Nyle DiMarco,"Trends failed: keyword=DWTS Nyle DiMarco, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
22,Paige VanZant,DWTS Paige VanZant,"Trends failed: keyword=DWTS Paige VanZant, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
22,Von Miller,DWTS Von Miller,"Trends failed: keyword=DWTS Von Miller, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
22,Wanya Morris,DWTS Wanya Morris,"Trends failed: keyword=DWTS Wanya Morris, err=Retry.__init__() got an unexpected keyword argument 'method_whitelist'"
