celebrity_name,season,wiki_title,total_pageviews,avg_daily_pageviews,max_daily_pageviews,days_with_data
Gary Busey,21,Gary Busey,949875,13378.5,200821,71
Alexa PenaVega,21,Alexa PenaVega,156918,2210.1,22579,71
Carlos PenaVega,21,Carlos PenaVega,66029,930.0,10452,71
Victor Espinoza,21,Victor Espinoza,116307,1638.1,24433,71
Alek Skarlatos,21,Alek Skarlatos,376967,5309.4,47804,71
Chaka Khan,21,Chaka Khan,275603,3881.7,59965,71
Andy Grammer,21,Andy Grammer,390270,5496.8,40468,71
Tamar Braxton,21,Tamar Braxton,487619,6867.9,29744,71
Nick Carter,21,Nick Carter,14440,203.4,1650,71
Hayes Grier,21,Hayes Grier,342133,4818.8,34342,71
Bindi Irwin,21,Bindi Irwin,872649,12290.8,80084,71
Kim Zolciak-Biermann,21,Kim Zolciak,651160,9171.3,69783,71
Paula Deen,21,Paula Deen,240851,3392.3,24857,71
Mischa Barton,22,Mischa Barton,547464,8422.5,94524,65
Kim Fields,22,Kim Fields,336597,5178.4,47273,65
Jodie Sweetin,22,Jodie Sweetin,699364,10759.4,61976,65
Doug Flutie,22,Doug Flutie,506982,7799.7,109963,65
Von Miller,22,Von Miller,270713,4164.8,30860,65
Antonio Brown,22,Antonio Brown,309288,4758.3,59570,65
Paige VanZant,22,Paige VanZant,546025,8400.4,47836,65
Geraldo Rivera,22,Geraldo Rivera,278653,4287.0,53849,65
Nyle DiMarco,22,Nyle DiMarco,705127,10848.1,68445,65
Ginger Zee,22,Ginger Zee,405654,6240.8,47779,65
Wanya Morris,22,Wanya Morris,218935,3368.2,67541,65
Marla Maples,22,Marla Maples,1214021,18677.2,143959,65
Jake T. Austin,23,Jake T. Austin,317878,4415.0,49291,72
Maureen McCormick,23,Maureen McCormick,807785,11219.2,145413,72
Marilu Henner,23,Marilu Henner,593346,8240.9,75627,72
Ryan Lochte,23,Ryan Lochte,345611,4800.2,78825,72
Calvin Johnson Jr.,23,Calvin Johnson,485393,6741.6,35988,72
Laurie Hernandez,23,Laurie Hernandez,297233,4128.2,32856,72
Amber Rose,23,Amber Rose,1498395,20811.0,198201,72
Rick Perry,23,Rick Perry,207792,2886.0,36814,72
James Hinchcliffe,23,James Hinchcliffe,348200,4836.1,42441,72
Babyface,23,Babyface (musician),283091,3931.8,65235,72
Vanilla Ice,23,Vanilla Ice,521443,7242.3,91447,72
Jana Kramer,23,Jana Kramer,989027,13736.5,127247,72
Terra Jole,23,Terra Jolé,59866,2494.4,21846,24
Charo,24,Charo,1347276,20727.3,472153,65
Mr. T,24,Mr. T,873437,13437.5,199894,65
Heather Morris,24,Heather Morris,348243,5357.6,50093,65
Nancy Kerrigan,24,Nancy Kerrigan,808153,12433.1,113060,65
Bonner Bolton,24,Bonner Bolton,317931,4967.7,41582,64
Simone Biles,24,Simone Biles,464656,7148.6,55264,65
Rashad Jennings,24,Rashad Jennings,480836,7397.5,92728,65
Chris Kattan,24,Chris Kattan,543480,8361.2,184801,65
Erika Jayne,24,Erika Jayne,627789,9658.3,93038,65
Normani,24,Normani,470,7.8,64,60
Nick Viall,24,Nick Viall,75958,1205.7,4494,63
Sasha Pieterse,25,Sasha Pieterse,332384,5113.6,32618,65
Frankie Muniz,25,Frankie Muniz,1147167,17648.7,215669,65
Jordan Fisher,25,Jordan Fisher,736593,11332.2,99267,65
Derek Fisher,25,Derek Fisher,209641,3225.2,52332,65
Nikki Bella,25,Nikki Bella,559669,8610.3,30139,65
Terrell Owens,25,Terrell Owens,385013,5923.3,37583,65
Victoria Arlen,25,Victoria Arlen,572439,8806.8,82575,65
Barbara Corcoran,25,Barbara Corcoran,453487,6976.7,138749,65
Lindsey Stirling,25,Lindsey Stirling,600310,9235.5,54406,65
Debbie Gibson,25,Debbie Gibson,426170,6556.5,107580,65
Nick Lachey,25,Nick Lachey,384028,5908.1,49872,65
Drew Scott,25,Drew Scott,248280,3819.7,17674,65
Vanessa Lachey,25,Vanessa Lachey,465214,7157.1,65700,65
Jamie Anderson,26,Jamie Anderson (snowboarder),34902,698.0,11614,50
Johnny Damon,26,Johnny Damon,131274,2625.5,44070,50
Kareem Abdul-Jabbar,26,Kareem Abdul-Jabbar,929171,18583.4,244857,50
Arike Ogunbowale,26,Arike Ogunbowale,25469,670.2,5631,38
Jennie Finch Daigle,26,Casey Daigle,87700,1754.0,36096,50
Chris Mazdzer,26,Chris Mazdzer,51200,1024.0,9220,50
Mirai Nagasu,26,Mirai Nagasu,78701,1574.0,15610,50
Tonya Harding,26,Tonya Harding,1273898,25478.0,187218,50
Josh Norman,26,Josh Norman,101488,2029.8,22184,50
Adam Rippon,26,Adam Rippon,102878,2057.6,12745,50
Juan Pablo Di Pace,27,Juan Pablo Di Pace,294233,5162.0,51708,57
Evanna Lynch,27,Evanna Lynch,313988,5508.6,26362,57
Nancy McKeon,27,Nancy McKeon,352154,6178.1,75276,57
John Schneider,27,John Schneider (screen actor),553163,9704.6,107720,57
Milo Manheim,27,Milo Manheim,427906,7507.1,44423,57
Danelle Umstead,27,Danelle Umstead,152468,2674.9,36379,57
Mary Lou Retton,27,Mary Lou Retton,652512,11447.6,121935,57
DeMarcus Ware,27,DeMarcus Ware,266356,4672.9,40177,57
Nikki Glaser,27,Nikki Glaser,245769,4311.7,26226,57
Bobby Bones,27,Bobby Bones,273153,4792.2,35310,57
Tinashe,27,Tinashe,207479,3640.0,25382,57
Alexis Ren,27,Alexis Ren,374469,6569.6,30135,57
Joe Amabile,27,Joe Amabile,32593,571.8,4569,57
Kate Flannery,28,Kate Flannery,325618,4586.2,32592,71
James Van Der Beek,28,James Van Der Beek,844879,11899.7,102348,71
Kel Mitchell,28,Kel Mitchell,439733,6193.4,48796,71
Ray Lewis,28,Ray Lewis,369117,5198.8,59919,71
Lamar Odom,28,Lamar Odom,431693,6080.2,57613,71
Sailor Brinkley-Cook,28,Sailor Brinkley Cook,36321,511.6,6831,71
Sean Spicer,28,Sean Spicer,420698,5925.3,48396,71
Mary Wilson,28,Mary Wilson,1410,19.9,225,71
Lauren Alaina,28,Lauren Alaina,316023,4451.0,27461,71
Ally Brooke,28,Ally Brooke,352554,4965.5,30570,71
Karamo Brown,28,Karamo Brown,391590,5515.4,31047,71
Hannah Brown,28,Hannah Brown,245231,3454.0,18718,71
Anne Heche,29,Anne Heche,820932,11562.4,124685,71
Jesse Metcalfe,29,Jesse Metcalfe,617571,8698.2,78328,71
Chrishell Stause,29,Chrishell Stause,837843,11800.6,100894,71
Skai Jackson,29,Skai Jackson,646279,9102.5,75597,71
Justina Machado,29,Justina Machado,419981,5915.2,40132,71
Charles Oakley,29,Charles Oakley,196032,2761.0,54978,71
Veron Davis,29,Juan Sebastián Verón,42726,601.8,1650,71
Johnny Weir,29,Johnny Weir,296525,4176.4,28036,71
Nev Schulman,29,Nev Schulman,385686,5432.2,30100,71
AJ McLean,29,AJ McLean,207296,2919.7,15956,71
Nelly,29,Nelly,517529,7289.1,43631,71
Kaitlyn Bristowe,29,Kaitlyn Bristowe,224571,3163.0,17999,71
Carole Baskin,29,Carole Baskin,650781,9165.9,91189,71
Monica Aldama,29,Monica Aldama,188469,2654.5,32121,71
Jeannie Mai,29,Jeannie Mai,508990,7168.9,36622,71
Martin Kove,30,Martin Kove,165204,2581.3,34611,64
