season,week,celebrity_name,judge_total,judge_rank,judge_share,air_date,air_date_source,pageviews
1,1,Evander Holyfield,18.0,4.0,0.1651376146788991,,,
1,1,Joey McIntyre,20.0,1.0,0.1834862385321101,,,
1,1,John O'Hurley,20.0,1.0,0.1834862385321101,,,
1,1,Kelly Monaco,13.0,6.0,0.11926605504587157,,,
1,1,Rachel Hunter,20.0,1.0,0.1834862385321101,,,
1,1,Trista Sutter,18.0,4.0,0.1651376146788991,,,
1,2,Evander Holyfield,14.0,6.0,0.11570247933884298,,,
1,2,Joey McIntyre,21.0,3.0,0.17355371900826447,,,
1,2,John O'Hurley,26.0,1.0,0.21487603305785125,,,
1,2,Kelly Monaco,17.0,5.0,0.14049586776859505,,,
1,2,Rachel Hunter,24.0,2.0,0.19834710743801653,,,
1,2,Trista Sutter,19.0,4.0,0.15702479338842976,,,
1,3,Evander Holyfield,13.0,5.0,0.12264150943396226,,,
1,3,Joey McIntyre,22.0,3.0,0.20754716981132076,,,
1,3,John O'Hurley,24.0,2.0,0.22641509433962265,,,
1,3,Kelly Monaco,21.0,4.0,0.19811320754716982,,,
1,3,Rachel Hunter,26.0,1.0,0.24528301886792453,,,
1,3,Trista Sutter,0.0,6.0,0.0,,,
1,4,Evander Holyfield,0.0,5.0,0.0,,,
1,4,Joey McIntyre,20.0,4.0,0.21739130434782608,,,
1,4,John O'Hurley,21.0,3.0,0.22826086956521738,,,
1,4,Kelly Monaco,26.0,1.0,0.2826086956521739,,,
1,4,Rachel Hunter,25.0,2.0,0.2717391304347826,,,
1,4,Trista Sutter,0.0,5.0,0.0,,,
1,5,Evander Holyfield,0.0,4.0,0.0,,,
1,5,Joey McIntyre,22.5,3.0,0.3082191780821918,,,
1,5,John O'Hurley,27.0,1.0,0.3698630136986301,,,
1,5,Kelly Monaco,23.5,2.0,0.3219178082191781,,,
1,5,Rachel Hunter,0.0,4.0,0.0,,,
1,5,Trista Sutter,0.0,4.0,0.0,,,
1,6,Evander Holyfield,0.0,3.0,0.0,,,
1,6,Joey McIntyre,0.0,3.0,0.0,,,
1,6,John O'Hurley,27.0,2.0,0.4954128440366973,,,
1,6,Kelly Monaco,27.5,1.0,0.5045871559633027,,,
1,6,Rachel Hunter,0.0,3.0,0.0,,,
1,6,Trista Sutter,0.0,3.0,0.0,,,
1,7,Evander Holyfield,,,,,,
1,7,Joey McIntyre,,,,,,
1,7,John O'Hurley,,,,,,
1,7,Kelly Monaco,,,,,,
1,7,Rachel Hunter,,,,,,
1,7,Trista Sutter,,,,,,
1,8,Evander Holyfield,,,,,,
1,8,Joey McIntyre,,,,,,
1,8,John O'Hurley,,,,,,
1,8,Kelly Monaco,,,,,,
1,8,Rachel Hunter,,,,,,
1,8,Trista Sutter,,,,,,
1,9,Evander Holyfield,,,,,,
1,9,Joey McIntyre,,,,,,
