celebrity_name,wiki_title
Donald Driver,Donald Driver
Gavin DeGraw,Gavin DeGraw
Gladys Knight,Gladys Knight
Jack Wagner,Jack Wagner (actor)
Jaleel White,Jaleel White
Katherine Jenkins,Katherine Jenkins
Maria Menounos,Maria Menounos
Martina Navratilova,Martina Navratilova
Melissa Gilbert,Melissa Gilbert
Roshon Fegan,Roshon Fegan
Sherri Sheperd,Shepherd (name)
William Levy,William Levy (actor)
Charlotte McKinney,Charlotte McKinney
Chris Soules,Chris Soules
Michael Sam,Michael Sam
Nastia Liukin,Nastia Liukin
Noah Galloway,Noah Galloway
Patti LaBelle,Patti LaBelle
Redfoo,Redfoo
Riker Lynch,Riker Lynch
Robert Herjavec,Robert Herjavec
Rumer Willis,Rumer Willis
Suzanne Somers,Suzanne Somers
Willow Shields,Willow Shields
Antonio Brown,Antonio Brown
Doug Flutie,Doug Flutie
Geraldo Rivera,Geraldo Rivera
Ginger Zee,Ginger Zee
Jodie Sweetin,Jodie Sweetin
Kim Fields,Kim Fields
Marla Maples,Marla Maples
Mischa Barton,Mischa Barton
Nyle DiMarco,Nyle DiMarco
Paige VanZant,Paige VanZant
Von Miller,Von Miller
Wanya Morris,Wanya Morris
