celebrity_industry,alpha_mean,alpha_std,count,vote_share_mean,placement_mean
Journalist,0.3891,,1,0.0873,12.0
Astronaut,0.2538,,1,0.0903,10.0
Comedian,0.1497,0.2611,12,0.0979,8.75
Radio Personality,0.1075,0.0939,4,0.0977,8.25
Fashion Designer,0.0807,,1,0.0892,10.0
Model,0.0775,0.1723,16,0.1111,8.625
Beauty Pagent,0.0664,,1,0.0971,10.0
Entrepreneur,0.0498,0.1259,4,0.0819,10.0
Politician,0.0364,0.0879,3,0.0754,10.3333
TV Personality,0.027,0.1236,65,0.1082,6.7385
Athlete,0.0184,0.1413,92,0.1168,6.3478
Actor/Actress,0.0029,0.1174,124,0.1129,6.7742
Fitness Instructor,-0.0,,1,0.1071,3.0
Conservationist,-0.0,,1,0.1218,1.0
Con artist,-0.0,,1,0.0693,12.0
Producer,0.0,,1,0.1212,2.0
Social media personality,0.0,,1,0.121,2.0
Singer/Rapper,-0.0074,0.1177,59,0.1123,6.7288
Motivational Speaker,-0.0104,,1,0.143,3.0
News Anchor,-0.0137,0.0238,3,0.1065,8.0
Military,-0.0233,,1,0.133,3.0
Social Media Personality,-0.0253,0.0401,8,0.1108,5.375
Racing Driver,-0.026,0.0782,3,0.1251,3.3333
Magician,-0.0276,,1,0.0689,12.0
Sports Broadcaster,-0.0409,0.0579,2,0.116,6.5
Musician,-0.0504,,1,0.1333,2.0
