celebrity_name,celebrity_industry,celebrity_age_during_season,placement,mean_alpha,mean_vote_share,is_controversial
AJ McLean,Singer/Rapper,42,7,2.321618857965795e-09,0.0916992897173477,False
Aaron Carter,Singer/Rapper,21,5,-0.09043036187616446,0.10879117920547805,False
Adam Carolla,Radio Personality,43,9,0.10491784310557183,0.09446889650932645,False
Adam Rippon,Athlete,28,1,-0.10619683740491734,0.18155465624207512,False
Adrian Peterson,Athlete,38,11,-7.279985157281073e-09,0.07371271465542181,False
Aiden Turner,Actor/Actress,32,9,0.09852001953168596,0.10372591295964739,False
Albert Reed,Model,22,11,0.11537434512990616,0.1006526710564193,False
Alek Skarlatos,Military,22,3,-0.02326604312901021,0.13300884005902772,False
Alexa PenaVega,Actor/Actress,27,6,-0.03827588019795094,0.11730607591177006,False
Alexandra Raisman,Athlete,18,4,-0.1619230150543279,0.13238432623547597,False
Alexis Ren,Social Media Personality,21,4,-0.036284268827421716,0.12935340776005796,False
Alfonso Ribeiro,Actor/Actress,42,1,-0.12333567880767955,0.13242617831127831,False
Alix Earle,Social media personality,24,2,5.174412875917293e-10,0.12097820656010755,False
Ally Brooke,Singer/Rapper,26,3,-8.66505484427181e-10,0.1446988728093292,False
Alyson Hannigan,Actor/Actress,49,5,-3.175236177564668e-09,0.11283091589097836,False
Amanda Kloots,TV Personality,39,4,-9.444078751465013e-10,0.11919974940828329,False
Amber Riley,Actor/Actress,27,1,-0.07567947652271156,0.1350239072726679,False
Amber Rose,Model,32,9,0.06485556724590998,0.09379407413480889,False
Amy Purdy,Athlete,34,2,-0.04415783852916256,0.14179324874390695,False
Andy Dick,Comedian,47,7,0.061663113929529854,0.105566054808144,False
Andy Grammer,Singer/Rapper,31,7,-0.020327938518989064,0.10921134296900034,False
Andy Richter,Comedian,59,7,-1.368162825286219e-09,0.08130464821044642,False
Anna Delvey,Con artist,33,12,-4.5089501945788584e-10,0.0692678432538236,False
Anne Heche,Actor/Actress,51,13,0.0,0.06460196119154123,False
Antonio Brown,Athlete,27,5,-0.02746892310719409,0.11676672891322853,False
