base_alpha,increment,final_alpha,smoothness,balance,score
0.3,0.02,0.52,1.0,0.82,0.91
0.3,0.03,0.63,1.0,0.93,0.965
0.3,0.04,0.74,1.0,0.96,0.98
0.3,0.05,0.85,1.0,0.85,0.925
0.3,0.06,0.9,0.982,0.8,0.891
0.3,0.07,0.9,0.9721,0.8,0.886
0.3,0.08,0.9,0.964,0.8,0.882
0.35,0.02,0.57,1.0,0.87,0.935
0.35,0.03,0.68,1.0,0.98,0.99
0.35,0.04,0.79,1.0,0.91,0.955
0.35,0.05,0.9,1.0,0.8,0.9
0.35,0.06,0.9,0.9779,0.8,0.8889
0.35,0.07,0.9,0.9684,0.8,0.8842
0.35,0.08,0.9,0.9615,0.8,0.8808
0.4,0.02,0.62,1.0,0.92,0.96
0.4,0.03,0.73,1.0,0.97,0.985
0.4,0.04,0.84,1.0,0.86,0.93
0.4,0.05,0.9,0.985,0.8,0.8925
0.4,0.06,0.9,0.975,0.8,0.8875
0.4,0.07,0.9,0.9668,0.8,0.8834
0.4,0.08,0.9,0.9616,0.8,0.8808
0.45,0.02,0.67,1.0,0.97,0.985
0.45,0.03,0.78,1.0,0.92,0.96
0.45,0.04,0.89,1.0,0.81,0.905
0.45,0.05,0.9,0.98,0.8,0.89
0.45,0.06,0.9,0.973,0.8,0.8865
0.45,0.07,0.9,0.9669,0.8,0.8834
0.45,0.08,0.9,0.962,0.8,0.881
0.5,0.02,0.72,1.0,0.98,0.99
0.5,0.03,0.83,1.0,0.87,0.935
0.5,0.04,0.9,0.988,0.8,0.894
0.5,0.05,0.9,0.9771,0.8,0.8885
0.5,0.06,0.9,0.9716,0.8,0.8858
0.5,0.07,0.9,0.9665,0.8,0.8833
0.5,0.08,0.9,0.9608,0.8,0.8804
0.55,0.02,0.77,1.0,0.93,0.965
0.55,0.03,0.88,1.0,0.82,0.91
0.55,0.04,0.9,0.9842,0.8,0.8921
0.55,0.05,0.9,0.9755,0.8,0.8878
0.55,0.06,0.9,0.9709,0.8,0.8854
0.55,0.07,0.9,0.9657,0.8,0.8829
0.55,0.08,0.9,0.9642,0.8,0.8821
0.6,0.02,0.82,1.0,0.88,0.94
0.6,0.03,0.9,0.991,0.8,0.8955
0.6,0.04,0.9,0.982,0.8,0.891
0.6,0.05,0.9,0.975,0.8,0.8875
0.6,0.06,0.9,0.9706,0.8,0.8853
0.6,0.07,0.9,0.9687,0.8,0.8843
0.6,0.08,0.9,0.966,0.8,0.883
