celebrity_industry,avg_total_score,avg_judge_score,avg_vote_share,avg_judge_rank,avg_placement,n_contestants
Conservationist,30.197,8.838,0.122,2.818,1.0,1
Social media personality,30.136,8.792,0.121,3.0,2.0,1
Producer,26.364,8.788,0.121,2.182,2.0,1
Musician,28.65,8.883,0.133,2.4,2.0,1
Military,26.727,8.212,0.133,5.273,3.0,1
Fitness Instructor,31.05,7.912,0.107,7.8,3.0,1
Motivational Speaker,32.05,8.012,0.143,5.2,3.0,1
Sports Broadcaster,23.864,7.955,0.153,3.545,3.636,2
Racing Driver,28.187,8.24,0.129,4.375,3.688,3
Athlete,26.243,7.98,0.126,4.685,4.745,92
Social Media Personality,32.486,8.682,0.113,3.214,5.0,8
Singer/Rapper,25.782,8.026,0.122,4.47,5.307,59
Actor/Actress,26.078,8.004,0.122,4.721,5.35,124
Radio Personality,21.324,6.828,0.104,7.824,5.353,4
TV Personality,25.399,7.679,0.115,5.328,5.438,65
News Anchor,25.637,7.742,0.118,5.176,6.235,3
Comedian,24.583,6.975,0.105,7.439,6.409,12
Model,23.61,7.464,0.117,5.164,7.068,16
Politician,19.2,5.783,0.081,10.067,8.6,3
Entrepreneur,22.306,6.461,0.088,7.778,8.778,4
Fashion Designer,26.5,6.625,0.089,8.75,10.0,1
Beauty Pagent,20.0,6.667,0.097,7.0,10.0,1
Astronaut,13.0,4.333,0.09,10.667,10.0,1
Journalist,13.0,4.333,0.087,12.0,12.0,1
Con artist,17.5,5.833,0.069,9.5,12.0,1
Magician,16.5,5.5,0.069,10.0,12.0,1
