Column,Missing_Count,Missing_Percent
celebrity_name,0,0.0
ballroom_partner,0,0.0
celebrity_industry,0,0.0
celebrity_homestate,56,13.3
celebrity_homecountry/region,0,0.0
celebrity_age_during_season,0,0.0
season,0,0.0
results,0,0.0
placement,0,0.0
week1_judge1_score,0,0.0
week1_judge2_score,0,0.0
week1_judge3_score,14,3.33
week1_judge4_score,340,80.76
week2_judge1_score,0,0.0
week2_judge2_score,0,0.0
week2_judge3_score,0,0.0
week2_judge4_score,330,78.38
week3_judge1_score,0,0.0
week3_judge2_score,0,0.0
week3_judge3_score,0,0.0
week3_judge4_score,293,69.6
week4_judge1_score,0,0.0
week4_judge2_score,0,0.0
week4_judge3_score,0,0.0
week4_judge4_score,291,69.12
week5_judge1_score,10,2.38
week5_judge2_score,10,2.38
week5_judge3_score,10,2.38
week5_judge4_score,302,71.73
week6_judge1_score,10,2.38
week6_judge2_score,10,2.38
week6_judge3_score,10,2.38
week6_judge4_score,274,65.08
week7_judge1_score,16,3.8
week7_judge2_score,16,3.8
week7_judge3_score,16,3.8
week7_judge4_score,277,65.8
week8_judge1_score,16,3.8
week8_judge2_score,16,3.8
week8_judge3_score,16,3.8
week8_judge4_score,313,74.35
week9_judge1_score,26,6.18
week9_judge2_score,26,6.18
week9_judge3_score,26,6.18
week9_judge4_score,288,68.41
week10_judge1_score,52,12.35
week10_judge2_score,52,12.35
week10_judge3_score,52,12.35
week10_judge4_score,328,77.91
week11_judge1_score,302,71.73
week11_judge2_score,302,71.73
week11_judge3_score,302,71.73
week11_judge4_score,395,93.82
