season,new_match_count,total_weeks,new_match_rate,old_match_rate,differ_count,differ_rate
1,1,6,0.167,0.167,0,0.0
2,3,8,0.375,0.375,0,0.0
3,4,10,0.4,0.3,1,0.1
4,4,10,0.4,0.3,1,0.1
5,4,10,0.4,0.3,1,0.1
6,5,10,0.5,0.5,0,0.0
7,5,10,0.5,0.4,1,0.1
8,4,11,0.364,0.273,1,0.091
9,4,10,0.4,0.4,0,0.0
10,6,10,0.6,0.5,1,0.1
11,4,10,0.4,0.5,1,0.1
12,4,10,0.4,0.5,1,0.1
13,6,10,0.6,0.6,2,0.2
14,4,10,0.4,0.5,1,0.1
15,2,10,0.2,0.1,2,0.2
16,7,10,0.7,0.7,0,0.0
17,4,11,0.364,0.364,2,0.182
18,3,10,0.3,0.3,2,0.2
19,6,11,0.545,0.455,3,0.273
20,2,10,0.2,0.1,1,0.1
21,4,11,0.364,0.364,0,0.0
22,4,10,0.4,0.4,0,0.0
23,5,11,0.455,0.364,1,0.091
24,3,10,0.3,0.3,1,0.1
25,4,10,0.4,0.4,0,0.0
26,1,4,0.25,0.0,1,0.25
27,2,9,0.222,0.0,2,0.222
28,4,11,0.364,0.364,0,0.0
29,3,11,0.273,0.273,0,0.0
30,5,10,0.5,0.5,0,0.0
31,2,10,0.2,0.2,0,0.0
32,3,11,0.273,0.273,0,0.0
33,2,9,0.222,0.222,0,0.0
34,1,11,0.091,0.091,0,0.0
