base_alpha,increment,final_alpha,balance,smoothness,score
0.3,0.02,0.5,0.8851087470692395,1.0,0.9425543735346198
0.3,0.04,0.7,0.88,1.0,0.94
0.3,0.06,0.8999999999999999,0.7557378457476476,0.9999999999999999,0.8778689228738237
0.3,0.08,0.9,0.7150157899110899,0.966740823228676,0.840878306569883
0.4,0.02,0.6000000000000001,0.94,1.0,0.97
0.4,0.04,0.8,0.809170232929975,1.0,0.9045851164649875
0.4,0.06,0.9,0.7167051006459877,0.9786851932297213,0.8476951469378544
0.4,0.08,0.9,0.7125560924284531,0.9622876383367175,0.8374218653825853
0.5,0.02,0.7,0.8851087470692395,1.0,0.9425543735346198
0.5,0.04,0.9,0.7702174941384788,1.0,0.8851087470692394
0.5,0.06,0.9,0.7553451410660316,0.972602604431249,0.8639738727486403
0.5,0.08,0.9,0.7737258300203047,0.9602476804000037,0.8669867552101542
0.6,0.02,0.8,0.8851087470692394,1.0,0.9425543735346197
0.6,0.04,0.9,0.8145707682160118,0.983370411614338,0.898970589915175
0.6,0.06,0.9,0.8302943725152285,0.9701857603000028,0.9002400664076157
0.6,0.08,0.9,0.8530850586223443,0.9650044094488364,0.9090447340355903
