season,elimination_week,celebrity_name,ballroom_partner,total_score,judge_rank,judge_score_pct,placement
1,3,Evander Holyfield,Edyta Sliwinska,13.0,5.0,12.264150943396226,5
1,4,Rachel Hunter,Jonathan Roberts,25.0,2.0,27.173913043478258,4
1,2,Trista Sutter,Louis van Amstel,19.0,4.0,15.702479338842975,6
2,6,George Hamilton,Edyta Sliwinska,23.0,4.0,17.293233082706767,5
2,3,Giselle Fernandez,Jonathan Roberts,22.0,5.0,12.087912087912088,8
2,1,Kenny Mayne,Andrea Hale,13.0,9.0,6.666666666666667,10
2,7,Lisa Rinna,Louis van Amstel,26.5,3.0,25.98039215686275,4
2,4,Master P,Ashly DelGrosso,8.0,7.0,5.063291139240507,7
2,2,Tatum O'Neal,Nick Kosovich,17.0,8.0,8.5,9
2,5,Tia Carrere,Maksim Chmerkoskiy,22.0,6.0,14.56953642384106,6
3,3,Harry Hamlin,Ashly DelGrosso,22.0,4.0,10.628019323671497,9
3,7,Jerry Springer,Kym Johnson,23.0,5.0,17.037037037037038,5
3,8,Monique Coleman,Louis van Amstel,26.5,4.0,24.31192660550459,4
3,5,Sara Evans,Tony Dovolani,24.0,6.0,13.259668508287293,6
3,2,Shanna Moakler,Jesse DeSoto,22.0,6.0,9.565217391304348,10
3,1,Tucker Carlson,Elena Grinenko,12.0,11.0,5.660377358490567,11
3,4,Vivica A. Fox,Nick Kosovich,24.0,4.0,12.121212121212121,8
3,5,Willa Ford,Maksim Chmerkoskiy,27.0,1.0,14.917127071823206,7
4,8,Billy Ray Cyrus,Karina Smirnoff,19.0,5.0,15.139442231075698,5
4,5,Clyde Drexler,Elena Grinenko,13.0,8.0,7.386363636363637,8
4,6,Heather Mills,Jonathan Roberts,23.0,5.0,13.529411764705882,7
4,9,Ian Ziering,Cheryl Burke,29.0,4.0,24.47257383966245,4
4,7,John Ratzenberger,Edyta Sliwinska,22.5,5.0,14.563106796116504,6
4,4,Leeza Gibbons,Tony Dovolani,16.0,7.0,8.421052631578947,9
4,2,Paulina Porizkova,Alec Mazo,21.0,6.0,8.571428571428571,11
4,3,Shandi Finnessey,Brian Fortuna,21.0,6.0,9.63302752293578,10
5,2,Albert Reed,Anna Trebunskaya,21.0,5.0,8.823529411764707,11
5,8,Cameron Mathison,Edyta Sliwinska,25.5,3.0,19.39163498098859,5
5,4,Floyd Mayweather Jr. ,Karina Smirnoff,23.0,8.0,9.82905982905983,9
5,7,Jane Seymour,Tony Dovolani,25.0,6.0,16.025641025641026,6
5,9,Jennie Garth,Derek Hough,29.0,3.0,24.786324786324787,4
5,1,Josie Maran,Alec Mazo,16.0,12.0,6.22568093385214,12
5,5,Mark Cuban,Kym Johnson,21.0,7.0,10.552763819095476,8
5,6,Sabrina Bryan,Mark Ballas,25.0,4.0,13.88888888888889,7
5,3,Wayne Newton,Cheryl Burke,18.0,10.0,7.531380753138076,10
6,4,Adam Carolla,Julianne Hough,19.0,9.0,8.444444444444445,9
6,8,Mario,Karina Smirnoff,26.5,3.0,19.850187265917604,5
6,9,Marissa Jaret Winokur,Tony Dovolani,26.0,4.0,23.636363636363637,4
6,6,Marlee Matlin,Fabian Sanchez,21.0,7.0,11.666666666666666,7
6,2,Monica Seles,Jonathan Roberts,15.0,12.0,5.836575875486381,11
6,2,Penn Jillette,Kym Johnson,17.0,10.0,6.614785992217899,12
6,5,Priscilla Presley,Louis van Amstel,21.0,8.0,10.714285714285714,8
6,7,Shannon Elizabeth,Derek Hough,25.5,4.0,16.50485436893204,6
6,3,Steve Guttenberg,Anna Trebunskaya,21.0,6.0,9.210526315789473,10
7,6,Cloris Leachman,Corky Ballas,15.0,7.0,9.375,7
7,9,Cody Linley,Julianne Hough,23.0,4.0,22.885572139303484,4
7,1,Jeffrey Ross,Edyta Sliwinska,12.0,13.0,4.761904761904762,13
7,2,Kim Kardashian,Mark Ballas,17.0,9.0,7.6923076923076925,11
7,8,Maurice Greene,Cheryl Burke,24.0,4.0,18.823529411764707,5
7,2,Misty May-Treanor,Maksim Chmerkoskiy,21.0,4.0,9.502262443438914,10
7,4,Rocco DiSpirito,Karina Smirnoff,18.0,9.0,8.866995073891626,9
7,7,Susan Lucci,Tony Dovolani,24.0,4.0,16.3265306122449,6
7,1,Ted McGinley,Inna Brayer,18.5,8.0,7.341269841269842,12
7,5,Toni Braxton,Alec Mazo,22.0,5.0,11.282051282051283,8
8,2,Belinda Carlisle,Jonathan Roberts,18.0,9.0,6.7924528301886795,13
8,8,Chuck Wicks,Julianne Hough,25.5,5.0,16.346153846153847,6
8,5,David Alan Grier,Kym Johnson,22.0,6.0,10.476190476190476,9
8,3,Denise Richards,Maksim Chmerkoskiy,16.0,10.0,6.299212598425196,12
8,4,Holly Madison,Dmitry Chaplin,16.0,9.0,6.6115702479338845,11
8,7,Lawrence Taylor,Edyta Sliwinska,21.0,7.0,11.538461538461538,7
8,9,Lil' Kim,Derek Hough,26.0,4.0,19.475655430711612,5
8,4,Steve Wozniak,Karina Smirnoff,12.0,11.0,4.958677685950414,10
8,6,Steve-O,Lacey Schwimmer,16.0,8.0,8.60215053763441,8
8,10,Ty Murray,Chelsie Hightower,24.0,4.0,21.91780821917808,4
9,8,Aaron Carter,Karina Smirnoff,25.0,4.0,19.083969465648856,5
9,1,Ashley Hamiliton,Edyta Sliwinska,18.9999,15.0,4.6797967676719905,16
9,4,Chuck Liddell,Anna Trebunskaya,17.0,9.0,7.024793388429752,11
9,3,Debi Mazar,Maksim Chmerkoskiy,17.0,10.0,6.5891472868217065,12
9,9,Joanna Krupa,Derek Hough,27.0,2.0,25.31258701201785,4
9,2,Kathy Ireland,Tony Dovolani,18.0,13.0,6.122448979591836,14
9,6,Louie Vito,Chelsie Hightower,24.0,7.0,9.230801183542559,8
9,1,Macy Gray,Jonathan Roberts,18.9999,15.0,4.6797967676719905,15
9,7,Mark Dacascos,Lacey Schwimmer,21.5,7.0,12.250712250712251,6
9,6,Melissa Joan Hart,Mark Ballas,23.9999,8.0,9.230762721870962,9
9,7,Michael Irvin,Anna Demidova,23.5,6.0,13.390313390313391,7
9,5,Natalie Coughlin,Alec Mazo,22.0,8.0,9.090909090909092,10
9,3,Tom DeLay,Cheryl Burke,15.0,12.0,5.813953488372093,13
10,4,Aiden Turner,Edyta Sliwinska,16.5,8.0,8.89487870619946,9
10,3,Buzz Aldrin,Ashly DelGrosso,13.0,10.0,6.403940886699508,10
10,9,Chad Ochocinco,Cheryl Burke,26.0,4.0,23.008849557522122,4
10,6,Jake Pavelka,Chelsie Hightower,24.999899999999997,7.0,11.96171470430762,7
10,5,Kate Gosselin,Tony Dovolani,15.0,8.0,8.670520231213873,8
10,8,Niecy Nash,Louis van Amstel,21.5,5.0,16.99604743083004,5
10,7,Pamela Anderson,Damian Whitewood,25.5,4.0,16.39871382636656,6
10,2,Shannen Doherty,Mark Ballas,20.0,6.0,9.090909090909092,11
11,6,Audrina Patridge,Tony Dovolani,31.9998,2.0,15.45889285615942,7
11,9,Brandy,Maksim Chmerkoskiy,28.5,3.0,25.0,4
11,1,David Hasselhoff,Kym Johnson,15.0,10.0,6.607929515418502,12
11,5,Florence Henderson,Corky Ballas,21.0,6.0,11.538461538461538,8
11,8,Kurt Warner,Anna Trebunskaya,24.0,4.0,18.11320754716981,5
11,3,Margaret Cho,Louis van Amstel,18.0,10.0,8.144796380090497,10
11,2,Michael Bolton,Chelsie Hightower,12.0,11.0,5.429864253393665,11
11,7,Rick Fox,Cheryl Burke,34.5,4.0,16.546762589928058,6
11,4,The Situation,Karina Smirnoff,14.0,9.0,7.82122905027933,9
12,6,Chris Jericho,Cheryl Burke,22.0,7.0,12.222222222222221,7
12,7,Kendra Wilkinson,Louis van Amstel,30.5,4.0,16.180371352785148,6
