celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week,judge_scores,total_score,avg_score,min_score,max_score,num_judges,score_std,judge_rank,contestants_this_week,judge_score_pct,is_last_week,is_eliminated,judge_rank_pct,score_vs_week_avg,score_vs_week_max,cumulative_avg_score,actual_voting_method,is_controversial
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,1,"[5.0, 7.0, 6.0]",18.0,6.0,5.0,7.0,3,0.816496580927726,4.0,6,16.51376146788991,False,False,0.6666666666666666,-0.16666666666666785,2.0,,rank,False
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,2,"[5.0, 4.0, 5.0]",14.0,4.666666666666667,4.0,5.0,3,0.4714045207910317,6.0,6,11.570247933884298,False,False,1.0,-6.166666666666668,12.0,18.0,rank,False
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,3,"[5.0, 4.0, 4.0]",13.0,4.333333333333333,4.0,5.0,3,0.4714045207910317,5.0,5,12.264150943396226,True,True,1.0,-8.2,13.0,16.0,rank,False
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,1,"[7.0, 7.0, 6.0]",20.0,6.666666666666667,6.0,7.0,3,0.4714045207910317,1.0,6,18.34862385321101,False,False,0.16666666666666666,1.8333333333333321,0.0,,rank,False
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,2,"[8.0, 7.0, 6.0]",21.0,7.0,6.0,8.0,3,0.816496580927726,3.0,6,17.355371900826448,False,False,0.5,0.8333333333333321,5.0,20.0,rank,False
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,3,"[7.0, 7.0, 8.0]",22.0,7.333333333333333,7.0,8.0,3,0.4714045207910317,3.0,5,20.754716981132077,False,False,0.6,0.8000000000000007,4.0,20.5,rank,False
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,4,"[7.0, 6.0, 7.0]",20.0,6.666666666666667,6.0,7.0,3,0.4714045207910317,4.0,4,21.73913043478261,False,False,1.0,-3.0,6.0,21.0,rank,False
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,5,"[8.5, 7.0, 7.0]",22.5,7.5,7.0,8.5,3,0.7071067811865476,3.0,3,30.82191780821918,True,False,1.0,-1.8333333333333321,4.5,20.75,rank,False
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,1,"[7.0, 7.0, 6.0]",20.0,6.666666666666667,6.0,7.0,3,0.4714045207910317,1.0,6,18.34862385321101,False,False,0.16666666666666666,1.8333333333333321,0.0,,rank,False
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,2,"[8.0, 9.0, 9.0]",26.0,8.666666666666666,8.0,9.0,3,0.4714045207910317,1.0,6,21.487603305785125,False,False,0.16666666666666666,5.833333333333332,0.0,20.0,rank,False
