season,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age,placement,results,last_week,weeks_competed,total_score_sum,total_score_mean,total_score_std,avg_judge_score,avg_weekly_rank,season_contestants,wins,top3_finishes,pro_avg_placement,pro_avg_score,career_span,total_pageviews,avg_daily_pageviews,num_weeks,year,age_group,is_us,pro_experience_level
1,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,5,Eliminated Week 3,3,3,45.0,15.0,2.6457513110645907,5.0,5.0,6,0,2,7.55,6.47,22,,,6,2005,35-45,True,Veteran
1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3,3rd Place,5,5,105.5,21.1,1.1401754250991376,7.033333333333333,2.8,6,0,1,7.25,5.55,10,,,6,2005,25-35,True,Experienced
1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2,2nd Place,6,6,145.0,24.166666666666668,3.060501048303474,8.055555555555555,1.6666666666666667,6,0,1,2.0,8.06,1,,,6,2005,45-55,True,New
1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,6,6,128.0,21.333333333333332,5.5287129303904585,7.111111111111111,3.1666666666666665,6,1,1,8.4,6.91,9,,,6,2005,25-35,True,Experienced
1,Rachel Hunter,Jonathan Roberts,Model,Non-US,New Zealand,35,4,Eliminated Week 4,4,4,95.0,23.75,2.6299556396765835,7.916666666666667,1.5,6,0,1,8.71,6.89,9,,,6,2005,25-35,False,Experienced
1,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,6,Eliminated Week 2,2,2,37.0,18.5,0.7071067811865476,6.166666666666666,4.0,6,0,1,7.0,7.11,31,,,6,2005,25-35,True,Veteran
2,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1,1st Place,8,8,219.4998,27.437475,1.761416841839059,9.145825,1.25,10,2,8,5.8,7.65,30,,,8,2006,25-35,True,Veteran
2,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,5,Eliminated Week 6,6,6,130.0,21.666666666666668,2.0655911179772892,7.222222222222222,5.333333333333333,10,0,2,7.55,6.47,22,,,8,2006,55+,True,Veteran
2,Giselle Fernandez,Jonathan Roberts,News Anchor,Non-US,Mexico,44,8,Eliminated Week 3,3,3,69.0,23.0,1.0,7.666666666666667,3.3333333333333335,10,0,1,8.71,6.89,9,,,8,2006,35-45,False,Experienced
2,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,8,8,180.16660000000002,22.520825000000002,2.3560586372462926,7.506941666666666,4.625,10,0,2,8.18,6.95,20,,,8,2006,35-45,True,Veteran
2,Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,10,Eliminated Week 1,1,1,13.0,13.0,,4.333333333333333,9.0,10,0,0,10.0,4.33,1,,,8,2006,45-55,True,New
2,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,4,Eliminated Week 7,7,7,168.5,24.071428571428573,3.2201005603936688,8.023809523809524,4.142857142857143,10,0,1,7.0,7.11,31,,,8,2006,35-45,True,Veteran
2,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,7,Eliminated Week 4,4,4,50.0,12.5,3.415650255319866,4.166666666666667,8.5,10,0,1,7.25,5.55,10,,,8,2006,25-35,True,Experienced
2,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,3,3rd Place,8,8,220.16649999999998,27.520812499999998,2.641894800780844,9.173604166666667,1.625,10,1,3,7.67,7.13,21,,,8,2006,25-35,True,Veteran
2,Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,9,Eliminated Week 2,2,2,40.0,20.0,4.242640687119285,6.666666666666667,5.0,10,0,0,8.5,7.38,2,,,8,2006,35-45,True,New
2,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,6,Eliminated Week 5,5,5,115.0,23.0,2.449489742783178,7.666666666666667,4.8,10,1,5,6.0,7.91,24,,,8,2006,35-45,True,Veteran
3,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,1,1st Place,10,10,257.6666,25.76666,3.255755246124416,8.588886666666667,2.6,11,2,8,5.8,7.65,30,,,10,2006,35-45,True,Veteran
3,Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,9,Eliminated Week 3,3,3,60.0,20.0,2.6457513110645907,6.666666666666667,6.333333333333333,11,0,1,7.25,5.55,10,,,10,2006,45-55,True,Experienced
3,Jerry Springer,Kym Johnson,TV Personality,Non-US,England,62,5,Eliminated Week 7,7,7,143.0,20.428571428571427,2.878491668515698,6.809523809523809,7.142857142857143,11,2,4,6.29,7.4,18,,,10,2006,55+,False,Veteran
3,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,9,9,233.0,25.88888888888889,3.0697900760656434,8.62962962962963,2.7777777777777777,11,0,2,7.55,6.47,22,,,10,2006,25-35,True,Veteran
3,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,2,2nd Place,10,10,268.6666,26.866660000000003,3.0447214797635156,8.955553333333333,2.1,11,1,4,6.72,7.3,20,,,10,2006,25-35,True,Veteran
3,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,4,Eliminated Week 8,8,8,199.5,24.9375,2.833946012188658,8.3125,3.25,11,0,1,7.0,7.11,31,,,10,2006,<25,True,Veteran
3,Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,6,Withdrew,5,5,105.0,21.0,3.9370039370059056,7.0,6.8,11,1,3,7.67,7.13,21,,,10,2006,25-35,True,Veteran
3,Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,10,Eliminated Week 2,2,2,40.0,20.0,2.8284271247461903,6.666666666666666,6.5,11,0,0,10.0,6.67,1,,,10,2006,25-35,True,New
3,Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,11,Eliminated Week 1,1,1,12.0,12.0,,4.0,11.0,11,0,0,9.5,4.6,2,,,10,2006,35-45,True,New
3,Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,8,Eliminated Week 4,4,4,97.0,24.25,2.0615528128088303,8.083333333333332,2.75,11,0,0,8.5,7.38,2,,,10,2006,35-45,True,New
3,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,7,Eliminated Week 5,5,5,122.0,24.4,2.880972058177587,8.133333333333335,3.0,11,1,5,6.0,7.91,24,,,10,2006,<25,True,Veteran
4,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,1,1st Place,10,10,268.8332,26.883319999999998,2.9731703994221403,8.961106666666668,2.2,11,2,2,4.2,7.85,5,,,10,2007,<25,True,Experienced
4,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,5,Eliminated Week 8,8,8,152.0,19.0,2.8284271247461903,6.333333333333333,6.5,11,1,4,6.72,7.3,20,,,10,2007,35-45,True,Veteran
4,Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,8,Eliminated Week 5,5,5,78.0,15.6,1.8165902124584952,5.2,9.4,11,0,0,9.5,4.6,2,,,10,2007,35-45,True,New
4,Heather Mills,Jonathan Roberts,Model,Non-US,England,39,7,Eliminated Week 6,6,6,133.0,22.166666666666668,2.3166067138525404,7.388888888888889,4.166666666666667,11,0,1,8.71,6.89,9,,,10,2007,35-45,False,Experienced
4,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,9,9,218.5,24.27777777777778,2.4123524710216877,8.092592592592592,3.4444444444444446,11,2,8,5.8,7.65,30,,,10,2007,35-45,True,Veteran
4,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,2,2nd Place,10,10,267.6665,26.76665,2.350713840162884,8.922216666666667,1.8,11,2,4,6.29,7.4,18,,,10,2007,25-35,True,Veteran
4,John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,6,Eliminated Week 7,7,7,133.5,19.071428571428573,2.280872848797353,6.357142857142857,6.857142857142857,11,0,2,7.55,6.47,22,,,10,2007,55+,True,Veteran
4,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,3,3rd Place,10,10,262.33320000000003,26.233320000000003,3.3565762982870244,8.74444,2.5,11,1,5,6.0,7.91,24,,,10,2007,25-35,True,Veteran
4,Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,9,Eliminated Week 4,4,4,76.0,19.0,4.242640687119285,6.333333333333333,6.0,11,1,3,7.67,7.13,21,,,10,2007,45-55,True,Veteran
4,Paulina Porizkova,Alec Mazo,Model,Non-US,Czechoslovakia,41,11,Eliminated Week 2,2,2,40.0,20.0,1.4142135623730951,6.666666666666666,5.5,11,1,1,8.4,6.91,9,,,10,2007,35-45,False,Experienced
4,Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,10,Eliminated Week 3,3,3,60.0,20.0,1.0,6.666666666666667,7.0,11,0,0,10.0,6.67,1,,,10,2007,25-35,True,New
5,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,11,Eliminated Week 2,2,2,42.0,21.0,0.0,7.0,5.0,12,0,2,8.18,6.95,20,,,10,2007,<25,True,Veteran
5,Cameron Mathison,Edyta Sliwinska,Actor/Actress,Non-US,Canada,38,5,Eliminated Week 8,8,8,194.0,24.25,2.2990681342044392,8.083333333333334,4.25,12,0,2,7.55,6.47,22,,,10,2007,35-45,False,Veteran
5,Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,9,Eliminated Week 4,4,4,83.0,20.75,2.0615528128088303,6.916666666666667,8.0,12,1,4,6.72,7.3,20,,,10,2007,25-35,True,Veteran
5,Helio Castroneves,Julianne Hough,Racing Driver,Non-US,Brazil,32,1,1st Place,10,10,266.4999,26.649990000000003,2.160882793083524,8.88333,2.6,12,2,2,4.2,7.85,5,,,10,2007,25-35,False,Experienced
5,Jane Seymour,Tony Dovolani,Actor/Actress,Non-US,England,56,6,Eliminated Week 7,7,7,171.0,24.428571428571427,2.2253945610567474,8.142857142857142,4.285714285714286,12,1,3,7.67,7.13,21,,,10,2007,55+,False,Veteran
5,Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,4,Eliminated Week 9,9,9,227.5,25.27777777777778,2.705447180124654,8.425925925925926,3.6666666666666665,12,6,9,2.94,8.88,19,,,10,2007,25-35,True,Veteran
5,Josie Maran,Alec Mazo,Model,California,United States,29,12,Eliminated Week 1,1,1,16.0,16.0,,5.333333333333333,12.0,12,1,1,8.4,6.91,9,,,10,2007,25-35,True,Experienced
5,Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,3,3rd Place,10,10,242.5,24.25,2.3003622903070435,8.083333333333332,4.5,12,0,1,8.71,6.89,9,,,10,2007,45-55,True,Experienced
5,Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,8,Eliminated Week 5,5,5,102.0,20.4,1.51657508881031,6.8,8.0,12,2,4,6.29,7.4,18,,,10,2007,45-55,True,Veteran
5,Mel B,Maksim Chmerkoskiy,Singer/Rapper,Non-US,England,32,2,2nd Place,10,10,272.3332,27.23332,2.362509024462481,9.077773333333333,2.0,12,1,5,6.0,7.91,24,,,10,2007,25-35,False,Veteran
5,Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,7,Eliminated Week 6,6,6,162.0,27.0,1.7888543819998317,9.0,1.8333333333333333,12,3,10,5.19,8.31,30,,,10,2007,<25,True,Veteran
5,Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,10,Eliminated Week 3,3,3,52.0,17.333333333333332,2.081665999466133,5.777777777777778,10.333333333333334,12,2,8,5.8,7.65,30,,,10,2007,55+,True,Veteran
6,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,9,Eliminated Week 4,4,4,74.0,18.5,2.5166114784235836,6.166666666666666,8.75,12,2,2,4.2,7.85,5,,,10,2008,35-45,True,Experienced
6,Cristian de la Fuente,Cheryl Burke,Actor/Actress,Non-US,Chile,34,3,3rd Place,10,10,247.5,24.75,2.8987545218210142,8.25,4.1,12,2,8,5.8,7.65,30,,,10,2008,25-35,False,Veteran
6,Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,2,2nd Place,10,10,261.5,26.15,2.3693646593314597,8.716666666666665,2.8,12,0,2,7.55,6.47,22,,,10,2008,25-35,True,Veteran
6,Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,1,1st Place,10,10,282.0,28.2,1.2516655570345725,9.4,1.2,12,3,10,5.19,8.31,30,,,10,2008,35-45,True,Veteran
6,Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,5,Eliminated Week 8,8,8,202.0,25.25,2.2038926600773596,8.416666666666666,3.375,12,1,4,6.72,7.3,20,,,10,2008,<25,True,Veteran
6,Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,4,Eliminated Week 9,9,9,209.0,23.22222222222222,3.1135902820449006,7.74074074074074,5.444444444444445,12,1,3,7.67,7.13,21,,,10,2008,25-35,True,Veteran
6,Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,7,Eliminated Week 6,6,6,134.0,22.333333333333332,1.3662601021279468,7.444444444444444,5.5,12,0,0,7.0,7.44,1,,,10,2008,35-45,True,New
6,Monica Seles,Jonathan Roberts,Athlete,Non-US,Yugoslavia,34,11,Eliminated Week 2,2,2,30.0,15.0,0.0,5.0,11.5,12,0,1,8.71,6.89,9,,,10,2008,25-35,False,Experienced
6,Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,12,Eliminated Week 2,2,2,33.0,16.5,0.7071067811865476,5.5,10.0,12,2,4,6.29,7.4,18,,,10,2008,45-55,True,Veteran
6,Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,8,Eliminated Week 5,5,5,114.0,22.8,2.16794833886788,7.6,5.2,12,0,1,7.0,7.11,31,,,10,2008,55+,True,Veteran
6,Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,Eliminated Week 7,7,7,169.5,24.214285714285715,2.1574897229794407,8.071428571428571,4.428571428571429,12,6,9,2.94,8.88,19,,,10,2008,25-35,True,Veteran
6,Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,10,Eliminated Week 3,3,3,55.0,18.333333333333332,2.5166114784235836,6.111111111111111,8.333333333333334,12,0,2,8.18,6.95,20,,,10,2008,45-55,True,Veteran
7,Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,1,1st Place,10,10,269.5,26.95,2.27852291335125,8.983333333333333,1.2,13,6,9,2.94,8.88,19,,,10,2008,35-45,True,Veteran
7,Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,6,6,105.0,17.5,3.146426544510455,5.833333333333333,8.5,13,0,0,7.5,6.1,5,,,10,2008,55+,True,Experienced
7,Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,4,Eliminated Week 9,9,9,205.5,22.833333333333332,2.2638462845343543,7.611111111111111,4.333333333333333,13,2,2,4.2,7.85,5,,,10,2008,<25,True,Experienced
7,Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,13,Eliminated Week 1,1,1,12.0,12.0,,4.0,13.0,13,0,2,7.55,6.47,22,,,10,2008,35-45,True,Veteran
7,Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,11,Eliminated Week 2,2,2,35.5,17.75,1.0606601717798212,5.916666666666667,8.5,13,3,10,5.19,8.31,30,,,10,2008,25-35,True,Veteran
