celebrity_name,total_score,is_eliminated,vote_mean,vote_std,vote_ci_lower,vote_ci_upper,certainty,season,week
Evander Holyfield,18.0,False,0.1638111163245244,0.0009756411562038088,0.1620589481582592,0.16560179226483507,0.9940441089829888,1,1
Joey McIntyre,20.0,False,0.1826861702067636,0.0011114013690806128,0.18079008283254838,0.18477819877117138,0.9939163354958794,1,1
John O'Hurley,20.0,False,0.18262050586135709,0.0012343960435599256,0.1799174945908802,0.1852620215912368,0.9932406493031124,1,1
Kelly Monaco,13.0,False,0.12440621931638254,0.0009332721602755017,0.12233336588050575,0.1260655244645269,0.9924981872658467,1,1
Rachel Hunter,20.0,False,0.18290053940335751,0.0011961888186761472,0.1803198133891964,0.18475195035594802,0.9934598945274943,1,1
Trista Sutter,18.0,False,0.16357544888761485,0.0010447743852499722,0.1613589664054223,0.16510765788565884,0.9936128900005783,1,1
Evander Holyfield,14.0,False,0.12028190230483583,0.001177225559449832,0.11825839043525653,0.12279835132816552,0.9902127790058862,1,2
Joey McIntyre,21.0,False,0.1704467910057415,0.0015636248636203402,0.16743027165037616,0.1732259283400801,0.9908263167972011,1,2
John O'Hurley,26.0,False,0.2180758723909041,0.0018873902722793357,0.21427430544956866,0.22142918160735292,0.9913452586405517,1,2
Kelly Monaco,17.0,False,0.13965339791817402,0.0013804334747263898,0.13690658904360178,0.14244152416273229,0.9901152890276597,1,2
Rachel Hunter,24.0,False,0.1973166124208145,0.0017837371878153198,0.19413492892779038,0.20061326215380954,0.9909600252815451,1,2
Trista Sutter,19.0,True,0.15422542395952987,0.0013606637677005297,0.15158954762941973,0.15688674328731433,0.9911774353879709,1,2
Evander Holyfield,13.0,True,0.13308551764663948,0.0012577160881607834,0.1310635338794989,0.13569404487018916,0.9905495645927441,1,3
Joey McIntyre,22.0,False,0.20355800327544815,0.0018883735698695266,0.1998933960939434,0.20695525817847366,0.9907231671588258,1,3
John O'Hurley,24.0,False,0.2235882723976253,0.0017294916115922012,0.22039471935374305,0.22682453187845553,0.992264837538006,1,3
Kelly Monaco,21.0,False,0.19418672329093678,0.0016938818362697834,0.19098111826325867,0.19794532931029166,0.9912770460947943,1,3
Rachel Hunter,26.0,False,0.24558148338935024,0.0021243764913465918,0.24094672006066734,0.24883086138571553,0.9913496064034333,1,3
Joey McIntyre,20.0,False,0.2179947173809363,0.001029332481775081,0.21605235874031348,0.2197509287897087,0.9952781769478553,1,4
John O'Hurley,21.0,False,0.2277843497335475,0.0011613052545483696,0.2258039640251777,0.23010654693705243,0.9949017337850172,1,4
Kelly Monaco,26.0,False,0.2832822655695806,0.0012784978176014828,0.28105159395828616,0.2860365784315896,0.995486841313448,1,4
Rachel Hunter,25.0,True,0.27093866731593547,0.0012570957565387075,0.26855062445123606,0.2734213550418812,0.9953602201967251,1,4
Joey McIntyre,22.5,False,0.308187069937425,0.0010905370929323885,0.30619538432105303,0.3101448962188896,0.9964614443650935,1,5
John O'Hurley,27.0,False,0.37070492908359604,0.0011664877680457372,0.3685571608513268,0.37302962656235306,0.9968533254442303,1,5
Kelly Monaco,23.5,False,0.3211080009789791,0.0010087318047536954,0.31886888532268337,0.32291924745093364,0.9968585902510111,1,5
John O'Hurley,27.0,False,0.4953796613358228,0.00017304083412008023,0.49501254767070085,0.49565542634054827,0.999650690475153,1,6
Kelly Monaco,27.5,False,0.5046203386641771,0.0001730408341200713,0.5043445736594517,0.5049874523292991,0.9996570870794107,1,6
Drew Lachey,24.0,False,0.12358924372420466,0.0011614490075544158,0.12130552105294097,0.12623165287720597,0.9906023455395014,2,1
George Hamilton,18.0,False,0.09078747566221904,0.0008880654599631957,0.08894139291513703,0.09246179794661587,0.990218194156347,2,1
Giselle Fernandez,23.0,False,0.11729974748374826,0.0010692338127876475,0.11538401572127724,0.11917098452004406,0.9908846026038054,2,1
Jerry Rice,21.0,False,0.10569906454309166,0.00102213437408556,0.10409653884523008,0.10762936313365573,0.9903297689671714,2,1
Kenny Mayne,13.0,True,0.07030250233731719,0.000683632739248529,0.06902443441616919,0.07172493703153514,0.9902758405957102,2,1
Lisa Rinna,19.0,False,0.09571105159217569,0.000767076880615288,0.0942520403863454,0.09712263212376925,0.9919854931290087,2,1
Master P,12.0,False,0.06674164257339318,0.000710015532584825,0.06552400201749042,0.06808242213238579,0.9893617312189456,2,1
Stacy Keibler,22.0,False,0.11163839127417877,0.0011764650463275974,0.10950466828570111,0.11387552963846438,0.9894618237247951,2,1
Tatum O'Neal,23.0,False,0.11741051965600571,0.0011274730424745234,0.11528960641997481,0.11947371342146085,0.99039717185668,2,1
Tia Carrere,20.0,False,0.10082036115366583,0.0010341357719755822,0.098677002468762,0.10278588439048039,0.9897427884591744,2,1
Drew Lachey,27.0,False,0.13557651545493915,0.0010203295414519325,0.13371799722107056,0.13800582549523321,0.9924741424572824,2,2
George Hamilton,22.0,False,0.10828873297019183,0.000957757680410932,0.10647491952173767,0.10996932814917504,0.9911555186385405,2,2
Giselle Fernandez,24.0,False,0.11846004814720038,0.0009283431394605212,0.11677200507026762,0.12005697674377953,0.9921632385434543,2,2
Jerry Rice,23.0,False,0.11323297322245325,0.0010624089954996742,0.11128860944688945,0.1150877747678135,0.9906174944871181,2,2
Lisa Rinna,20.0,False,0.09890271775147004,0.0008735797969014279,0.09725535734680969,0.10033612209519521,0.9911672821863539,2,2
Master P,16.0,False,0.08263310863183557,0.0006372608439566161,0.08163168263725551,0.08383030271661629,0.992288068856324,2,2
Stacy Keibler,29.0,False,0.14825924372286584,0.001268051568335528,0.1457113758460481,0.1508606290710827,0.9914470657174952,2,2
Tatum O'Neal,17.0,True,0.08635665934677302,0.0006998473156792423,0.08519717003913196,0.0877381512312412,0.9918958500598206,2,2
Tia Carrere,22.0,False,0.10829000075227099,0.0009268624639578545,0.1068304945552435,0.11040699569629113,0.9914409229151435,2,2
Drew Lachey,27.0,False,0.14824430404292888,0.0013019664995084208,0.14573096745510367,0.15044627059400825,0.9912174264777729,2,3
George Hamilton,22.0,False,0.11899209343222536,0.0009455701706103345,0.11706871101444849,0.12096787804993937,0.9920535042006896,2,3
Giselle Fernandez,22.0,True,0.11902393880786737,0.001153804883046969,0.11678645401033004,0.12114444324430192,0.9903061107319807,2,3
Jerry Rice,19.0,False,0.10431200512284047,0.0009469096528527557,0.10248764855155293,0.10596920644679707,0.9909223329401285,2,3
Lisa Rinna,25.0,False,0.13577376990108794,0.0012000365945731202,0.1336080097484312,0.13821719119330825,0.9911614990476633,2,3
Master P,14.0,False,0.08369481731769715,0.0007980505607970358,0.0823424473448821,0.08534125102660671,0.9904647553292611,2,3
Stacy Keibler,27.0,False,0.148277506303045,0.0012552063723239395,0.14600070996242423,0.1508897874879845,0.9915347485696273,2,3
Tia Carrere,26.0,False,0.14168156507230775,0.0012176979797938084,0.1396133201252541,0.144397825342908,0.9914053887026703,2,3
Drew Lachey,28.0,False,0.17572866668124548,0.0021493573449137236,0.17144170815793333,0.1797721688857839,0.9877688860587985,2,4
George Hamilton,21.0,False,0.1285872616146208,0.001696649656260271,0.12512390382525743,0.13155040138522103,0.9868054608601498,2,4
Jerry Rice,24.0,False,0.14721251846968003,0.0020416412112884475,0.14334373293482597,0.15087562835057872,0.9861313342607548,2,4
Lisa Rinna,26.0,False,0.16093797862509113,0.0021143605619901094,0.15701919772048795,0.16499037506923225,0.9868622647056133,2,4
Master P,8.0,True,0.07251400050116714,0.0010686645013276708,0.07010884076425762,0.07444619369508582,0.9852626459174533,2,4
Stacy Keibler,26.0,False,0.16099624365027487,0.0019176890015317296,0.15745613247026358,0.16455581255425458,0.9880886102802656,2,4
Tia Carrere,25.0,False,0.15402333045792058,0.0018035843398138151,0.1509006077282897,0.157645699434254,0.9882901873732268,2,4
Drew Lachey,27.0,False,0.17820624790642145,0.000838446502572397,0.17658334287489835,0.17970636383982505,0.995295077964872,2,5
George Hamilton,24.0,False,0.15830254562432824,0.0008010160677132755,0.1566397316248132,0.1599482867868216,0.9949399672345498,2,5
Jerry Rice,23.0,False,0.15198313888153542,0.0007156957047106269,0.15045711981625098,0.15343406201312754,0.9952909532598317,2,5
Lisa Rinna,25.0,False,0.16465159768692367,0.0007347210033638128,0.1631934290624795,0.1659382219743497,0.995537723206544,2,5
Stacy Keibler,30.0,False,0.20074158281584908,0.0010028474537848834,0.19902505925629563,0.20256892393749523,0.9950042864078398,2,5
Tia Carrere,22.0,True,0.14611488708494216,0.00072215106447248,0.14457063181783913,0.14735789668064056,0.9950576489577502,2,5
Drew Lachey,30.0,False,0.22574807252426496,0.0012754932598254393,0.22337272416867254,0.2281362958888243,0.9943499262449369,2,6
George Hamilton,23.0,True,0.17350138482544203,0.0009532865065886554,0.1719107830014395,0.17525947714661713,0.9945055971308371,2,6
Jerry Rice,23.0,False,0.17342006213974126,0.0009685209628842841,0.17162876074096184,0.17532483456669493,0.9944151734756971,2,6
Lisa Rinna,27.0,False,0.20144282658696305,0.001102920096551761,0.19916257046539543,0.20355490045284585,0.9945248976335446,2,6
Stacy Keibler,30.0,False,0.2258876539235886,0.0011800417410580042,0.22366563234705578,0.22794845616871875,0.9947759794722681,2,6
Drew Lachey,27.5,False,0.2685697479713471,0.0012834615950597685,0.26609836499852363,0.271417871100554,0.9952211237313419,2,7
Jerry Rice,20.5,False,0.20424043338428136,0.0011879367187992145,0.2019988314188833,0.2065338917004778,0.9941836359279355,2,7
Lisa Rinna,26.5,True,0.25826936938441636,0.0013451971537812252,0.2560722621876266,0.2607551874629349,0.994791495573062,2,7
Stacy Keibler,27.5,False,0.26892044925995534,0.001195279965156742,0.26676367747085494,0.2712175393552366,0.9955552656242913,2,7
Drew Lachey,28.9998,False,0.34381232341652834,0.0005045346310253028,0.3427802346447522,0.3449274266389341,0.9985325289506448,2,8
Jerry Rice,26.666600000000003,False,0.31643385751348335,0.0004978757398259819,0.3155911699721949,0.3173600466763061,0.9984266040816926,2,8
Stacy Keibler,28.6665,False,0.33975381906998836,0.0005046900454003006,0.33880198581045184,0.34055720286681823,0.9985145419504575,2,8
Emmitt Smith,24.0,False,0.11390757694878717,0.0010228434253943914,0.11220298437600842,0.11607409248213081,0.9910204092406051,3,1
Harry Hamlin,17.0,False,0.07904746628842005,0.0007595859092530205,0.07766400783721843,0.08037988195411286,0.9903907620962635,3,1
Jerry Springer,16.0,False,0.07510001859096677,0.000676968366747158,0.07396945029951031,0.07634871982382727,0.9909857763094004,3,1
Joey Lawrence,21.0,False,0.09738804460073278,0.0010561320150809942,0.09537983553324267,0.09936414819496249,0.989155424370508,3,1
Mario Lopez,26.0,False,0.12611135286703098,0.0011031511630103226,0.12381500216574298,0.12824701952899425,0.9912525626128723,3,1
Monique Coleman,19.0,False,0.08769161159313667,0.0008777301728745111,0.08594394553631904,0.08914352190468794,0.9899907168208184,3,1
Sara Evans,15.0,False,0.0712166871439432,0.0006854344278443715,0.0699575563153596,0.07242956953813566,0.990375367693544,3,1
Shanna Moakler,18.0,False,0.08341687974769282,0.0007512952175139083,0.08215607279911906,0.08485654964807125,0.9909934869323054,3,1
Tucker Carlson,12.0,True,0.0610583318765116,0.0006303467789466595,0.059864941745755997,0.06227335429770452,0.9896763183733628,3,1
Vivica A. Fox,22.0,False,0.1025265391379695,0.001020390705468443,0.10076101085274784,0.10426783339010368,0.9900475456008975,3,1
Willa Ford,22.0,False,0.10253549120480843,0.0010427428050535387,0.10048754472188545,0.10426934300906222,0.9898304207372379,3,1
Emmitt Smith,24.0,False,0.10360076491845688,0.0005438789831021971,0.1027323870699091,0.10464327554945518,0.9947502416267845,3,2
Harry Hamlin,21.0,False,0.0910233089269622,0.0004953052646552783,0.09012482410535268,0.09197159419263598,0.9945584788062065,3,2
Jerry Springer,19.0,False,0.08333474110841911,0.0004947488319832997,0.08239128776046208,0.08440603368475379,0.9940631143097975,3,2
Joey Lawrence,29.0,False,0.12889261123355586,0.0007247035344782512,0.12764639098640432,0.13021886633832397,0.9943774625438764,3,2
Mario Lopez,21.0,False,0.0910173518457067,0.0005954177934848407,0.08986866080977879,0.09200636037783491,0.9934581947133092,3,2
Monique Coleman,26.0,False,0.1131952383899449,0.0006242183588626727,0.11205530010309507,0.11430588575949344,0.9944854715821851,3,2
Sara Evans,21.0,False,0.09100097111469445,0.0005617975457526215,0.09002027436215014,0.09214554911345428,0.9938264664775439,3,2
Shanna Moakler,22.0,True,0.09515097940534104,0.00048388053996732553,0.0942038644821934,0.09596198888538239,0.9949146026347663,3,2
Vivica A. Fox,24.0,False,0.1035828807678095,0.0006091349202128687,0.10247425763598554,0.10481987671129339,0.9941193475630563,3,2
Willa Ford,23.0,False,0.09920115228910945,0.0005677589702190014,0.09830315534479965,0.10033345459909086,0.9942766897650106,3,2
Emmitt Smith,19.0,False,0.09275242847308304,0.00048540127125772147,0.09186862503555157,0.09378836629994669,0.9947667001366052,3,3
Harry Hamlin,22.0,True,0.10569559786267474,0.0005458894906555464,0.10475640010263736,0.1067954655629479,0.9948352674880103,3,3
Jerry Springer,21.0,False,0.10124819364867312,0.0005958394864737535,0.1001378480657647,0.10233257539741089,0.9941150605753887,3,3
