season,celebrity_name,placement,judge_rank,controversy_score,total_score_mean
2,Jerry Rice,2,6.0,4.0,22.520825
2,Master P,7,10.0,3.0,12.5
3,Jerry Springer,5,8.0,3.0,20.428571428571427
4,Billy Ray Cyrus,5,9.0,4.0,19.0
4,Clyde Drexler,8,11.0,3.0,15.6
5,Marie Osmond,3,6.0,3.0,24.25
7,Cloris Leachman,7,12.0,5.0,17.5
8,Steve Wozniak,10,13.0,3.0,13.0
8,Steve-O,8,12.0,4.0,15.833333333333334
9,Chuck Liddell,11,15.0,4.0,18.75
9,Michael Irvin,7,11.0,4.0,19.357114285714285
9,Tom DeLay,13,16.0,3.0,17.666633333333333
11,Bristol Palin,3,7.0,4.0,22.91664
13,Chaz Bono,7,10.0,3.0,18.83333333333333
13,Nancy Grace,5,8.0,3.0,21.125
15,Emmitt Smith,4,7.0,3.0,28.117255555555555
16,D. L. Hughley,9,12.0,3.0,16.6
17,Bill Engvall,4,9.0,5.0,23.40907272727273
18,Candace Cameron Bure,3,6.0,3.0,30.79998
19,Michael Waltrip,7,12.0,5.0,25.625
21,Alek Skarlatos,3,8.0,5.0,26.72726363636364
24,Bonner Bolton,5,8.0,3.0,28.4375
24,David Ross,2,6.0,4.0,31.28333
27,Bobby Bones,1,8.0,7.0,22.38888888888889
27,Joe Amabile,6,11.0,5.0,18.75
28,Sean Spicer,6,9.0,3.0,18.88888888888889
29,Nelly,3,7.0,4.0,22.954545454545453
30,Cody Rigsby,3,7.0,4.0,31.05
30,Iman Shumpert,1,6.0,5.0,31.1
31,Vinny Guadagnino,7,12.0,5.0,26.9375
33,Ilona Maher,2,6.0,4.0,25.77777777777778
33,Reginald VelJohnson,10,13.0,3.0,17.333333333333332
