ballroom_partner,avg_placement,std_placement,partnerships,avg_score,wins,top3
Derek Hough,2.94,1.82,17,8.88,6,9
Julianne Hough,4.2,3.42,5,7.85,2,2
Daniella Karagach,4.6,4.04,5,7.85,1,3
Mark Ballas,5.19,3.54,21,8.29,3,10
Valentin Chmerkovskiy,5.26,3.57,19,8.37,3,9
Lindsay Arnold,5.4,3.41,10,7.58,1,4
Witney Carson,5.5,3.39,14,7.9,1,5
Cheryl Burke,5.8,3.48,25,7.65,2,8
Maksim Chmerkoskiy,6.0,3.43,17,7.92,1,5
Sasha Farber,6.08,2.75,12,8.13,0,2
Alan Bersten,6.11,4.4,9,7.68,1,2
Lacey Schwimmer,6.17,3.31,6,6.83,0,2
Kym Johnson,6.29,3.97,14,7.4,2,4
Jenna Johnson,6.44,5.22,9,7.19,2,4
Sharna Burgess,6.57,4.5,14,7.51,1,5
Rylee Arnold,6.67,3.06,3,7.14,0,0
Karina Smirnoff,6.72,3.53,18,7.3,1,4
Dmitry Chaplin,7.0,4.58,3,7.43,0,1
Louis van Amstel,7.0,3.22,11,7.1,0,1
Ashly DelGrosso,7.25,3.1,4,5.55,0,1
Allison Holker,7.25,3.86,4,7.75,0,1
Chelsie Hightower,7.29,2.56,7,7.2,0,0
Peta Murgatroyd,7.4,4.05,15,7.11,2,2
Artem Chigvintsev,7.42,3.0,12,7.55,1,1
Edyta Sliwinska,7.55,4.44,11,6.47,0,2
Tony Dovolani,7.67,3.32,21,7.12,1,3
Emma Slater,7.94,3.53,16,6.8,1,1
Anna Trebunskaya,8.18,3.54,11,6.94,0,2
Alec Mazo,8.4,4.39,5,6.91,1,1
Gleb Savchenko,8.46,2.93,13,7.3,0,0
Jonathan Roberts,8.71,4.5,7,6.89,0,1
Brandon Armstrong,9.12,2.85,8,7.44,0,1
Tristan MacManus,9.6,3.21,5,6.44,0,0
Keo Motsepe,9.89,3.86,9,6.34,0,1
Britt Stewart,10.0,3.9,6,6.1,0,0
Pasha Pashkov,10.43,4.5,7,6.58,0,1
