season,week,judge_tiebreaker_choice,pure_fan_choice,actual_eliminated,tiebreaker_changes_result
1,1,Kelly Monaco,Kelly Monaco,,False
1,2,Evander Holyfield,Evander Holyfield,Trista Sutter,False
1,3,Evander Holyfield,Evander Holyfield,Evander Holyfield,False
1,4,Joey McIntyre,Joey McIntyre,Rachel Hunter,False
1,5,Joey McIntyre,Joey McIntyre,,False
2,1,Master P,Master P,Kenny Mayne,False
2,2,Master P,Master P,Tatum O'Neal,False
2,3,Master P,Master P,Giselle Fernandez,False
2,4,Master P,Master P,Master P,False
2,5,Tia Carrere,Tia Carrere,Tia Carrere,False
2,6,George Hamilton,George Hamilton,George Hamilton,False
2,7,Jerry Rice,Jerry Rice,Lisa Rinna,False
2,8,Jerry Rice,Jerry Rice,,False
3,1,Tucker Carlson,Tucker Carlson,Tucker Carlson,False
3,2,Jerry Springer,Shanna Moakler,Shanna Moakler,True
3,3,Emmitt Smith,Harry Hamlin,Harry Hamlin,True
3,4,Sara Evans,Vivica A. Fox,Vivica A. Fox,True
3,5,Jerry Springer,Jerry Springer,Sara Evans,False
3,6,Jerry Springer,Jerry Springer,,False
3,7,Jerry Springer,Jerry Springer,Jerry Springer,False
3,8,Monique Coleman,Monique Coleman,Monique Coleman,False
3,9,Emmitt Smith,Emmitt Smith,,False
4,1,Billy Ray Cyrus,Billy Ray Cyrus,,False
4,2,Clyde Drexler,Paulina Porizkova,Paulina Porizkova,True
4,3,Clyde Drexler,Shandi Finnessey,Shandi Finnessey,True
4,4,Clyde Drexler,Leeza Gibbons,Leeza Gibbons,True
4,5,Clyde Drexler,Clyde Drexler,Clyde Drexler,False
4,6,John Ratzenberger,Heather Mills,Heather Mills,True
4,7,Billy Ray Cyrus,John Ratzenberger,John Ratzenberger,True
4,8,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,False
4,9,Ian Ziering,Ian Ziering,Ian Ziering,False
4,10,Laila Ali,Laila Ali,,False
5,1,Josie Maran,Josie Maran,Josie Maran,False
5,2,Wayne Newton,Albert Reed,Albert Reed,True
5,3,Wayne Newton,Wayne Newton,Wayne Newton,False
5,4,Mark Cuban,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,True
5,5,Marie Osmond,Marie Osmond,Mark Cuban,False
5,6,Jane Seymour,Sabrina Bryan,Sabrina Bryan,True
5,7,Jane Seymour,Jane Seymour,Jane Seymour,False
5,8,Marie Osmond,Cameron Mathison,Cameron Mathison,True
5,9,Marie Osmond,Jennie Garth,Jennie Garth,True
5,10,Marie Osmond,Marie Osmond,,False
6,1,Adam Carolla,Adam Carolla,,False
6,2,Monica Seles,Monica Seles,Monica Seles,False
6,3,Marissa Jaret Winokur,Steve Guttenberg,Steve Guttenberg,True
6,4,Adam Carolla,Adam Carolla,Adam Carolla,False
6,5,Priscilla Presley,Priscilla Presley,Priscilla Presley,False
6,6,Marlee Matlin,Marlee Matlin,Marlee Matlin,False
6,7,Cristian de la Fuente,Shannon Elizabeth,Shannon Elizabeth,True
6,8,Marissa Jaret Winokur,Mario,Mario,True
6,9,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,False
6,10,Cristian de la Fuente,Cristian de la Fuente,,False
7,1,Jeffrey Ross,Jeffrey Ross,Jeffrey Ross,False
7,2,Cloris Leachman,Kim Kardashian,Kim Kardashian,True
7,3,Cloris Leachman,Cloris Leachman,,False
7,4,Rocco DiSpirito,Rocco DiSpirito,Rocco DiSpirito,False
7,5,Cloris Leachman,Toni Braxton,Toni Braxton,True
7,6,Cloris Leachman,Cloris Leachman,Cloris Leachman,False
7,7,Warren Sapp,Susan Lucci,Susan Lucci,True
7,8,Cody Linley,Cody Linley,Maurice Greene,False
7,9,Cody Linley,Cody Linley,Cody Linley,False
7,10,Lance Bass,Lance Bass,,False
8,1,Steve Wozniak,Steve Wozniak,,False
8,2,Steve-O,Belinda Carlisle,Belinda Carlisle,True
8,3,Steve Wozniak,Denise Richards,Denise Richards,True
8,4,Steve Wozniak,Steve Wozniak,Steve Wozniak,False
8,5,Steve-O,David Alan Grier,David Alan Grier,True
8,6,Steve-O,Steve-O,Steve-O,False
8,7,Lawrence Taylor,Lawrence Taylor,Lawrence Taylor,False
8,8,Melissa Rycroft,Chuck Wicks,Chuck Wicks,True
8,9,Ty Murray,Lil' Kim,Lil' Kim,True
8,10,Ty Murray,Ty Murray,Ty Murray,False
8,11,Melissa Rycroft,Melissa Rycroft,,False
9,1,Ashley Hamiliton,Ashley Hamiliton,Ashley Hamiliton,False
9,2,Kathy Ireland,Kathy Ireland,Kathy Ireland,False
9,3,Michael Irvin,Tom DeLay,Tom DeLay,True
9,4,Michael Irvin,Chuck Liddell,Chuck Liddell,True
9,5,Michael Irvin,Natalie Coughlin,Natalie Coughlin,True
9,6,Michael Irvin,Louie Vito,Louie Vito,True
9,7,Mark Dacascos,Mark Dacascos,Mark Dacascos,False
9,8,Aaron Carter,Aaron Carter,Aaron Carter,False
9,9,Donny Osmond,Joanna Krupa,Joanna Krupa,True
9,10,Kelly Osbourne,Kelly Osbourne,,False
10,1,Buzz Aldrin,Buzz Aldrin,,False
10,2,Buzz Aldrin,Shannen Doherty,Shannen Doherty,True
10,3,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,False
10,4,Kate Gosselin,Aiden Turner,Aiden Turner,True
10,5,Kate Gosselin,Kate Gosselin,Kate Gosselin,False
10,6,Jake Pavelka,Jake Pavelka,Jake Pavelka,False
10,7,Niecy Nash,Pamela Anderson,Pamela Anderson,True
10,8,Niecy Nash,Niecy Nash,Niecy Nash,False
10,9,Chad Ochocinco,Chad Ochocinco,Chad Ochocinco,False
10,10,Evan Lysacek,Evan Lysacek,,False
11,1,David Hasselhoff,David Hasselhoff,David Hasselhoff,False
11,2,Michael Bolton,Michael Bolton,Michael Bolton,False
11,3,Margaret Cho,Margaret Cho,Margaret Cho,False
11,4,The Situation,The Situation,The Situation,False
11,5,Bristol Palin,Florence Henderson,Florence Henderson,True
11,6,Kurt Warner,Audrina Patridge,Audrina Patridge,True
11,7,Bristol Palin,Rick Fox,Rick Fox,True
11,8,Bristol Palin,Kurt Warner,Kurt Warner,True
11,9,Bristol Palin,Brandy,Brandy,True
11,10,Bristol Palin,Bristol Palin,,False
12,1,Mike Catherwood,Mike Catherwood,,False
12,2,Mike Catherwood,Mike Catherwood,Mike Catherwood,False
12,3,Wendy Williams,Wendy Williams,Wendy Williams,False
12,4,Kendra Wilkinson,Sugar Ray Leonard,Sugar Ray Leonard,True
12,5,Kendra Wilkinson,Kendra Wilkinson,Petra Nemcova,False
12,6,Chris Jericho,Chris Jericho,Chris Jericho,False
12,7,Kirstie Alley,Kendra Wilkinson,Kendra Wilkinson,True
12,8,Ralph Macchio,Romeo,Romeo,True
12,9,Ralph Macchio,Ralph Macchio,Ralph Macchio,False
12,10,Kirstie Alley,Kirstie Alley,,False
13,1,Metta World Peace (Ron),Metta World Peace (Ron),Metta World Peace (Ron),False
13,2,David Arquette,Elisabetta Canalis,Elisabetta Canalis,True
13,3,Chaz Bono,Kristin Cavallari,Kristin Cavallari,True
13,4,Carson Kressley,Chynna Phillips,Chynna Phillips,True
13,5,Carson Kressley,Carson Kressley,Carson Kressley,False
13,6,Chaz Bono,Chaz Bono,Chaz Bono,False
13,7,Nancy Grace,David Arquette,David Arquette,True
13,8,Nancy Grace,Nancy Grace,Nancy Grace,False
13,9,Hope Solo,Hope Solo,Hope Solo,False
13,10,Ricki Lake,Ricki Lake,,False
14,1,Gavin DeGraw,Gavin DeGraw,,False
14,2,Martina Navratilova,Martina Navratilova,Martina Navratilova,False
14,3,Gavin DeGraw,Gavin DeGraw,Jack Wagner,False
14,4,Gladys Knight,Sherri Sheperd,Sherri Sheperd,True
14,5,Gavin DeGraw,Gavin DeGraw,Gavin DeGraw,False
14,6,Gladys Knight,Gladys Knight,Gladys Knight,False
14,7,Melissa Gilbert,Jaleel White,Jaleel White,True
