season,celebrity_name,placement,judge_rank,controversy_score,total_score_mean,ballroom_partner
27,Bobby Bones,1,8.0,7.0,22.38888888888889,Sharna Burgess
19,Michael Waltrip,7,12.0,5.0,25.625,Emma Slater
17,Bill Engvall,4,9.0,5.0,23.40907272727273,Emma Slater
31,Vinny Guadagnino,7,12.0,5.0,26.9375,Koko Iwasaki
30,Iman Shumpert,1,6.0,5.0,31.1,Daniella Karagach
7,Cloris Leachman,7,12.0,5.0,17.5,Corky Ballas
27,Joe Amabile,6,11.0,5.0,18.75,Jenna Johnson
21,Alek Skarlatos,3,8.0,5.0,26.72726363636364,Lindsay Arnold
29,Nelly,3,7.0,4.0,22.954545454545453,Daniella Karagach
24,David Ross,2,6.0,4.0,31.28333,Lindsay Arnold
11,Bristol Palin,3,7.0,4.0,22.91664,Mark Ballas
2,Jerry Rice,2,6.0,4.0,22.520825,Anna Trebunskaya
9,Chuck Liddell,11,15.0,4.0,18.75,Anna Trebunskaya
8,Steve-O,8,12.0,4.0,15.833333333333334,Lacey Schwimmer
30,Cody Rigsby,3,7.0,4.0,31.05,Cheryl Burke
4,Billy Ray Cyrus,5,9.0,4.0,19.0,Karina Smirnoff
33,Ilona Maher,2,6.0,4.0,25.77777777777778,Alan Bersten
9,Michael Irvin,7,11.0,4.0,19.357114285714285,Anna Demidova
28,Sean Spicer,6,9.0,3.0,18.88888888888889,Lindsay Arnold
24,Bonner Bolton,5,8.0,3.0,28.4375,Sharna Burgess
16,D. L. Hughley,9,12.0,3.0,16.6,Cheryl Burke
18,Candace Cameron Bure,3,6.0,3.0,30.79998,Mark Ballas
2,Master P,7,10.0,3.0,12.5,Ashly DelGrosso
15,Emmitt Smith,4,7.0,3.0,28.117255555555555,Cheryl Burke
13,Nancy Grace,5,8.0,3.0,21.125,Tristan MacManus
13,Chaz Bono,7,10.0,3.0,18.83333333333333,Lacey Schwimmer
9,Tom DeLay,13,16.0,3.0,17.666633333333333,Cheryl Burke
8,Steve Wozniak,10,13.0,3.0,13.0,Karina Smirnoff
5,Marie Osmond,3,6.0,3.0,24.25,Jonathan Roberts
4,Clyde Drexler,8,11.0,3.0,15.6,Elena Grinenko
3,Jerry Springer,5,8.0,3.0,20.428571428571427,Kym Johnson
33,Reginald VelJohnson,10,13.0,3.0,17.333333333333332,Emma Slater
