season,celebrity_name,placement,judge_rank,controversy_score,dwvs_change
2,Jerry Rice,2,6.0,4.0,0.3600000000000003
2,Master P,7,10.0,3.0,-0.08999999999999986
3,Jerry Springer,5,8.0,3.0,0.17999999999999972
4,Billy Ray Cyrus,5,9.0,4.0,0.35999999999999943
4,Clyde Drexler,8,11.0,3.0,0.0
5,Marie Osmond,3,6.0,3.0,0.4499999999999993
7,Cloris Leachman,7,12.0,5.0,0.15000000000000036
8,Steve Wozniak,10,13.0,3.0,-0.08999999999999986
8,Steve-O,8,12.0,4.0,0.120000000000001
9,Chuck Liddell,11,15.0,4.0,-0.120000000000001
9,Michael Irvin,7,11.0,4.0,0.2400000000000002
9,Tom DeLay,13,16.0,3.0,-0.17999999999999972
11,Bristol Palin,3,7.0,4.0,0.5999999999999996
13,Chaz Bono,7,10.0,3.0,0.08999999999999986
13,Nancy Grace,5,8.0,3.0,0.2699999999999996
15,Emmitt Smith,4,7.0,3.0,0.35999999999999943
16,D. L. Hughley,9,12.0,3.0,0.0
17,Bill Engvall,4,9.0,5.0,0.8999999999999995
18,Candace Cameron Bure,3,6.0,3.0,0.4499999999999993
19,Michael Waltrip,7,12.0,5.0,0.4499999999999993
21,Alek Skarlatos,3,8.0,5.0,0.8999999999999995
24,Bonner Bolton,5,8.0,3.0,0.2699999999999996
24,David Ross,2,6.0,4.0,0.5999999999999996
27,Bobby Bones,1,8.0,7.0,0.8399999999999999
27,Joe Amabile,6,11.0,5.0,0.4499999999999993
28,Sean Spicer,6,9.0,3.0,0.3600000000000003
29,Nelly,3,7.0,4.0,0.7199999999999998
30,Cody Rigsby,3,7.0,4.0,0.5999999999999996
30,Iman Shumpert,1,6.0,5.0,0.75
31,Vinny Guadagnino,7,12.0,5.0,0.4499999999999993
33,Ilona Maher,2,6.0,4.0,0.47999999999999954
33,Reginald VelJohnson,10,13.0,3.0,-0.17999999999999972
