pro_dancer,seasons_participated,total_partners,wins,top3_finishes,avg_placement,avg_score,first_season,last_season,career_span
Derek Hough,17,17,6,9,2.94,8.88,5,23,19
Mark Ballas,21,20,3,10,5.19,8.31,5,34,30
Valentin Chmerkovskiy,19,19,3,9,5.26,8.37,13,32,20
Cheryl Burke,25,24,2,8,5.8,7.65,2,31,30
Julianne Hough,5,5,2,2,4.2,7.85,4,8,5
Jenna Johnson,9,9,2,4,6.44,7.21,23,34,12
Peta Murgatroyd,15,15,2,2,7.4,7.12,13,32,20
Kym Johnson,14,13,2,4,6.29,7.4,3,20,18
Tony Dovolani,21,20,1,3,7.67,7.13,2,22,21
Alec Mazo,5,5,1,1,8.4,6.91,1,9,9
Maksim Chmerkoskiy,17,16,1,5,6.0,7.91,2,25,24
Karina Smirnoff,18,18,1,4,6.72,7.3,3,22,20
Sharna Burgess,14,14,1,5,6.57,7.5,16,30,15
Witney Carson,14,14,1,5,5.5,7.91,18,33,16
Artem Chigvintsev,12,12,1,1,7.42,7.56,19,32,14
Emma Slater,16,16,1,1,7.94,6.81,17,33,17
Lindsay Arnold,10,10,1,4,5.4,7.58,16,30,15
Alan Bersten,9,9,1,2,6.11,7.69,25,33,9
Witney Carson (Xoshitl Gomez week 9),1,1,1,1,1.0,8.98,34,34,1
Daniella Karagach,5,5,1,3,4.6,7.85,29,33,5
Andrea Hale,1,1,0,0,10.0,4.33,2,2,1
Anna Trebunskaya,11,11,0,2,8.18,6.95,2,21,20
Louis van Amstel,11,11,0,1,7.0,7.11,1,31,31
Nick Kosovich,2,2,0,0,8.5,7.38,2,3,2
Ashly DelGrosso,4,4,0,1,7.25,5.55,1,10,10
Jonathan Roberts,7,7,0,1,8.71,6.89,1,9,9
Charlotte Jorgensen,1,1,0,1,2.0,8.06,1,1,1
Edyta Sliwinska,11,11,0,2,7.55,6.47,1,22,22
Damian Whitewood,1,1,0,0,6.0,7.81,10,10,1
Anna Demidova,1,1,0,0,7.0,6.45,9,9,1
Dmitry Chaplin,3,3,0,1,7.0,7.43,8,12,5
Chelsie Hightower,7,7,0,0,7.29,7.2,8,15,8
Lacey Schwimmer,6,6,0,2,6.17,6.83,7,13,7
Corky Ballas,2,2,0,0,7.5,6.1,7,11,5
Inna Brayer,1,1,0,0,12.0,6.17,7,7,1
Fabian Sanchez,1,1,0,0,7.0,7.44,6,6,1
Brian Fortuna,1,1,0,0,10.0,6.67,4,4,1
Elena Grinenko,2,2,0,0,9.5,4.6,3,4,2
Jesse DeSoto,1,1,0,0,10.0,6.67,3,3,1
Sasha Farber,12,12,0,2,6.08,8.14,17,33,17
Allison Holker,4,4,0,1,7.25,7.78,19,23,5
Gleb Savchenko,13,13,0,0,8.46,7.32,16,34,19
Tristan MacManus,5,5,0,0,9.6,6.44,13,17,5
Tyne Stecklein,1,1,0,0,11.0,5.22,17,17,1
Kym Herjavec,1,1,0,0,10.0,5.88,24,24,1
Keo Motsepe,9,9,0,1,9.89,6.34,19,29,11
Henry Byalikov,1,1,0,0,12.0,6.0,18,18,1
Pasha Pashkov,7,7,0,1,10.43,6.61,28,34,7
Britt Stewart,6,6,0,0,10.0,6.12,29,34,6
Koko Iwasaki,2,2,0,0,10.5,5.37,31,32,2
Rylee Arnold,3,3,0,0,6.67,7.22,32,34,3
Brandon Armstrong,8,8,0,1,9.12,7.45,27,34,8
Ezra Sosa,1,1,0,0,12.0,5.83,33,33,1
Val Chmerkovskiy,1,1,0,0,8.0,7.29,33,33,1
Ezra Sosa (Apolo Anton Ohno week 9),1,1,0,1,3.0,8.79,34,34,1
Alan Bersten (Rashad Jennings week 9),1,1,0,0,5.0,8.3,34,34,1
Emma Slater/Kaitlyn Bristowe (week 9),1,1,0,0,7.0,6.58,34,34,1
Val Chmerkovskiy (Joey Graziadei week 9),1,1,0,1,2.0,8.96,34,34,1
Jan Ravnik,1,1,0,0,9.0,7.43,34,34,1
Daniella Karagach (Rumer Willis week 9),1,1,0,0,4.0,8.62,34,34,1
