season,num_contestants,num_judges,num_weeks,winner,winner_pro,year
1,6,3,6,Kelly Monaco,Alec Mazo,2005
2,10,3,8,Drew Lachey,Cheryl Burke,2006
3,11,3,10,Emmitt Smith,Cheryl Burke,2006
4,11,3,10,Apolo Anton Ohno,Julianne Hough,2007
5,12,3,10,Helio Castroneves,Julianne Hough,2007
6,12,3,10,Kristi Yamaguchi,Mark Ballas,2008
7,13,3,10,Brooke Burke,Derek Hough,2008
8,13,3,11,Shawn Johnson,Mark Ballas,2009
9,16,3,10,Donny Osmond,Kym Johnson,2009
10,11,3,10,Nicole Scherzinger,Derek Hough,2010
11,12,3,10,Jennifer Grey,Derek Hough,2010
12,11,4,10,Hines Ward,Kym Johnson,2011
13,12,3,10,J.R. Martinez,Karina Smirnoff,2011
14,12,3,10,Donald Driver,Peta Murgatroyd,2012
15,13,4,10,Melissa Rycroft,Tony Dovolani,2012
16,12,3,10,Kellie Pickler,Derek Hough,2013
17,12,3,11,Amber Riley,Derek Hough,2013
18,12,4,10,Meryl Davis,Maksim Chmerkoskiy,2014
19,13,4,11,Alfonso Ribeiro,Witney Carson,2014
20,12,4,10,Rumer Willis,Valentin Chmerkovskiy,2015
21,13,4,11,Bindi Irwin,Derek Hough,2015
22,12,4,10,Nyle DiMarco,Peta Murgatroyd,2016
23,13,4,11,Laurie Hernandez,Valentin Chmerkovskiy,2016
24,12,4,10,Rashad Jennings,Emma Slater,2017
25,13,4,10,Jordan Fisher,Lindsay Arnold,2017
26,10,4,4,Adam Rippon,Jenna Johnson,2018
27,13,3,9,Bobby Bones,Sharna Burgess,2018
28,12,4,11,Hannah Brown,Alan Bersten,2019
29,15,3,11,Kaitlyn Bristowe,Artem Chigvintsev,2019
30,15,4,10,Iman Shumpert,Daniella Karagach,2020
31,16,4,10,Charli D'Amelio,Mark Ballas,2020
32,14,4,11,Xochitl Gomez,Valentin Chmerkovskiy,2021
33,13,4,9,Joey Graziadei,Jenna Johnson,2021
34,14,4,11,Robert Irwin,Witney Carson (Xoshitl Gomez week 9),2022
